id,element,useCase,type,component
1,User:subactivity detail input page,Create subactivity,entity,subactivitydetailinputpage
2,User:Create subactivity page,Create subactivity,entity,subactivitydetailinputpage
3,User:Successfully created message,Create subactivity,boundary,successmessage
4,Create subactivity page:add subactivity into db,Create subactivity,entity,subactivitydetailinputpage
5,Input activity into db:Successfully created message,Create subactivity,boundary,successmessage
6,Input activity into db:subactivity db,Create subactivity,entity,subactivitydetailinputpage
7,subactivity detail input page:Input activity into db,Create subactivity,entity,subactivitydetailinputpage
8,add subactivity into db:subactivity detail input page,Create subactivity,entity,subactivitydetailinputpage
9,add subactivity into db:subactivity db,Create subactivity,entity,subactivitydetailinputpage
10,stl#User:subactivity detail input page,Create subactivity,Stimulus,undefined
11,stl#User:Create subactivity page,Create subactivity,Stimulus,undefined
12,stl#User:Successfully created message,Create subactivity,Stimulus,undefined
