id,element,useCase,type,outboundDegree,inboundDegree
1,User:Coupon receiving page,Save it for lateer,0,undefined,undefined
2,Add coupon into category:Sort coupons from far to close,Save it for lateer,0,undefined,undefined
3,Category list:Add coupon into category,Save it for lateer,0,undefined,undefined
4,Sort coupons from far to close:Categories,Save it for lateer,0,undefined,undefined
5,Create a category:Category list,Save it for lateer,0,undefined,undefined
6,Choose a category or not:Category list,Save it for lateer,0,undefined,undefined
7,Choose a category or not:Create a category,Save it for lateer,0,undefined,undefined
8,Choose a category or not:Random coupoon pool,Save it for lateer,0,undefined,undefined
9,Coupon receiving page:Choose a category or not,Save it for lateer,0,undefined,undefined
10,stl#User:Coupon receiving page,Save it for lateer,0,undefined,undefined
