id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,c3,control,1,0,Experiment Use Case,Experiment Use Case,
2,e3,entity,1,0,Experiment Use Case,Experiment Use Case,
3,Actor2,actor,1,0,Experiment Use Case,Experiment Use Case,
4,e2,entity,2,2,Experiment Use Case,Experiment Use Case,
5,c2,control,1,2,Experiment Use Case,Experiment Use Case,
6,b2,boundary,1,4,Experiment Use Case,Experiment Use Case,
7,e1,entity,1,1,Experiment Use Case,Experiment Use Case,
8,c1,control,2,1,Experiment Use Case,Experiment Use Case,
9,b1,boundary,1,3,Experiment Use Case,Experiment Use Case,
10,Actor1,actor,2,0,Experiment Use Case,Experiment Use Case,
