id,element,useCase,type,component
1,User:Employee select page,Approve Timesheets,boundary,Catagorypage
2,User:Send Page,Approve Timesheets,boundary,Catagorypage
3,User:Homepage,Approve Timesheets,boundary,Catagorypage
4,Display approval confirmation:Update database,Approve Timesheets,control,Validatevalues
5,Display approval confirmation:Update database,Approve Timesheets,control,Validatevalues
6,Employee select page:Display approval confirmation,Approve Timesheets,control,Displayapprovalconfirmation
7,Send Page:Display approval confirmation,Approve Timesheets,control,Displayapprovalconfirmation
8,Display transfer confirmation :Homepage,Approve Timesheets,boundary,Catagorypage
9,Display transfer confirmation :Employee select page,Approve Timesheets,boundary,Catagorypage
10,Make report visible:Display transfer confirmation ,Approve Timesheets,control,Displayapprovalconfirmation
11,Update database:Make report visible,Approve Timesheets,control,Makereportvisible
12,stl#User:Employee select page,Approve Timesheets,Stimulus,undefined
13,stl#User:Send Page,Approve Timesheets,Stimulus,undefined
14,stl#User:Homepage,Approve Timesheets,Stimulus,undefined
