id,element,attributeNum,operationNum,diagram
1,Order records,3,0,Domain Objects
2,Course,4,0,Domain Objects
3,Share course records,4,0,Domain Objects
4,Course review records,3,0,Domain Objects
5,Course providing records,2,0,Domain Objects
6,User,3,0,Domain Objects
7,Dashboard user management page,3,2,Domain Objects
8,Course request page,10,2,Domain Objects
9,Dashboard course management page,4,0,Domain Objects
10,Dashboard process request page,1,2,Domain Objects
11,Dashboard order management page,1,2,Domain Objects
12,Order records page,1,2,Domain Objects
13,Trainer schedule page,4,3,Domain Objects
14,Dashboard review management page,1,2,Domain Objects
15,Course Review Page,1,2,Domain Objects
16,Trainer profile page,8,3,Domain Objects
17,Sign up trainer page,7,2,Domain Objects
18,Payment page,2,1,Domain Objects
19,Course detail page,10,0,Domain Objects
20,Course search page,4,1,Domain Objects
21,Course attendeee profile page,7,3,Domain Objects
22,Sign up course attendee page,6,2,Domain Objects
23,Login Page,2,2,Domain Objects
