id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Render Background of the location,control,0,4,Render Battle Scene,Render Battle Scene,
2,Render Army around 360,control,3,0,Render Battle Scene,Render Battle Scene,
3,Check Location
,control,2,0,Render Battle Scene,Render Battle Scene,
4,Army,entity,0,1,Render Battle Scene,Render Battle Scene,
5,Location,entity,0,1,Render Battle Scene,Render Battle Scene,
6,Battle Scene,boundary,1,1,Render Battle Scene,Render Battle Scene,
7,User,actor,1,0,Render Battle Scene,Render Battle Scene,
