id,path,functional,transactional,path_length,diagram,useCase
1,Administrator->user edit page->validate input user information->save input user information->User,EI,CTRL|DM|EI,undefined,Edit user,Edit user
2,Administrator->user edit page->validate input user information->save input user information->display user information->user information page,EQ,CTRL|INT,undefined,Edit user,Edit user
3,Administrator->user edit page->validate input user information->invalid input information error,EQ,CTRL|INT,undefined,Edit user,Edit user
4,Administrator->User Management Button->validate role of user->role,EI,CTRL|DM|EI,undefined,Edit user,Edit user
5,Administrator->User Management Button->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Edit user,Edit user
6,Administrator->User Management Button->validate role of user->user management page,EQ,CTRL|INT,undefined,Edit user,Edit user
7,Administrator->user information page->display user edit page->user edit page,EQ,CTRL|INT,undefined,Edit user,Edit user
8,Administrator->user management page->query user information->User,EI,CTRL|DM|EI,undefined,Edit user,Edit user
9,Administrator->user management page->query user information->user information page,EQ,CTRL|INT,undefined,Edit user,Edit user
