id,element,useCase,type,component
1,administrator:confirmation dialog,retract a survey,boundary,questionlist
2,administrator:quit without saving button,retract a survey,boundary,quitwithoutsavingbutton
3,administrator:delete success message,retract a survey,boundary,successmessage
4,Display a confirmation dialog:confirmation dialog,retract a survey,boundary,questionlist
5,Display a confirmation dialog:answer storage,retract a survey,control,answerstorage
6,quit without saving button:Display a confirmation dialog,retract a survey,entity,executefeaturenaanddisplaycategories
7,delete answers:answer storage,retract a survey,control,answerstorage
8,confirmation dialog:delete answers,retract a survey,control,answerstorage
9,delete answers:delete success message,retract a survey,boundary,successmessage
10,delete answers:temprary file,retract a survey,entity,tempraryfile
11,stl#administrator:confirmation dialog,retract a survey,Stimulus,undefined
12,stl#administrator:quit without saving button,retract a survey,Stimulus,undefined
13,stl#administrator:delete success message,retract a survey,Stimulus,undefined
