id,element,useCase,type,component
1,User:Student preference menu,view student progress,boundary,Studentcourselist
2,User:Homepage,view student progress,boundary,Homepage
3,Display progress:Homepage,view student progress,boundary,Homepage
4,Student preference menu:Display progress,view student progress,control,Displaycomfirminformation
5,stl#User:Student preference menu,view student progress,Stimulus,undefined
6,stl#User:Homepage,view student progress,Stimulus,undefined
