id,operation,element
1,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
2,helpusecasediagramhtm,$help://usecasediagram.htm
3,helpactorhtm,$help://actor.htm
4,SystemBoundary,System Boundary
5,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
6,Owner,Owner
7,Stop,Stop
8,Tour,Tour
9,checktourdetail,Tour
10,retrievetours,Tour
11,tourinfoerror,Tour
12,processtour,Tour
13,TourCreator,TourCreator
14,toursearchcriteriapage,TourCreator
15,retrievenearbytours,TourCreator
16,Popupforreentertourinfo,TourCreator
17,emptymapview,emptymapview
18,Errormessage,Errormessage
19,loginerror,Errormessage
20,registerpage,Errormessage
21,Informationinvalidityerror,Errormessage
22,updateerror,Errormessage
23,checkloginInfo,checkloginInfo
24,Loginpage,checkloginInfo
25,UserInfo,checkloginInfo
26,checkupdateinformation,checkloginInfo
27,checkinternetconnection,checkloginInfo
