id,element,useCase,type,component
1,User:Search name page,Search by names,boundary,Search By Name SubComponent
2,User:Homepage,Search by names,boundary,Message Context
3,Confirmation page:Homepage,Search by names,boundary,Message Context
4,Confirmation page:Search name page,Search by names,boundary,Search By Name SubComponent
5,Input a name:Confirmation page,Search by names,control,Collaboration Graph
6,Search name page:Input a name,Search by names,control,Inputaword
7,stl#User:Search name page,Search by names,Stimulus,undefined
8,stl#User:Homepage,Search by names,Stimulus,undefined
