id,element,useCase,type,component
1,customer:chat button,Private message,boundary,addtocartbutton
2,customer:successful communication message,Private message,boundary,savecommentsconcerns
3,customer:exceeded limit error message,Private message,boundary,notavailableerrormessage
4,customer:comment and concerns panel,Private message,boundary,savecommentsconcerns
5,chat button:display chat panel,Private message,control,displaychatpanel
6,comment and concerns panel:save comments/concerns,Private message,boundary,savecommentsconcerns
7,display chat panel:comment and concerns panel,Private message,boundary,savecommentsconcerns
8,save comments/concerns:message,Private message,boundary,notavailableerrormessage
9,save comments/concerns:successful communication message,Private message,boundary,savecommentsconcerns
10,stl#customer:chat button,Private message,Stimulus,undefined
11,stl#customer:successful communication message,Private message,Stimulus,undefined
12,stl#customer:exceeded limit error message,Private message,Stimulus,undefined
13,stl#customer:comment and concerns panel,Private message,Stimulus,undefined
