id,transaction,useCase,transactional, TL, DETs, TD, Arch_Diff
1,stl#User:activity already exists->User:activity already exists,Create Activity,CTRL,2,0,5,10
2,stl#User:activity already exists->User:activity already exists,Create Activity,EXTCLL,2,0,5,10
3,stl#User:activity already exists->User:activity already exists,Create Activity,DM,2,0,5,10
4,stl#User:activity already exists->User:activity already exists,Create Activity,EI,2,0,5,10
5,stl#User:Activity input page->User:Activity input page->Activity input page:add activity into db->add activity into db:success message,Create Activity,TRAN_NA,4,0,4,16
6,stl#User:Activity input page->User:Activity input page->Activity input page:add activity into db->add activity into db:activity already exists,Create Activity,TRAN_NA,4,0,5,20
7,stl#User:Activity input page->User:Activity input page->Activity input page:add activity into db->add activity into db:activity,Create Activity,TRAN_NA,4,0,5,20
8,stl#User:success message->User:success message,Create Activity,CTRL,2,0,2,4
9,stl#User:success message->User:success message,Create Activity,EXTCLL,2,0,2,4
10,stl#User:success message->User:success message,Create Activity,INT,2,0,2,4
1,stl#User:project has been created message->User:project has been created message,Create STEM Project,CTRL,2,0,2,4
2,stl#User:project has been created message->User:project has been created message,Create STEM Project,EXTCLL,2,0,2,4
3,stl#User:project has been created message->User:project has been created message,Create STEM Project,DM,2,0,2,4
4,stl#User:project has been created message->User:project has been created message,Create STEM Project,EI,2,0,2,4
5,stl#User:project description page->User:project description page->project description page:create user account->create user account:project has been created message,Create STEM Project,TRAN_NA,4,0,2.3333333333333335,9.333333333333334
6,stl#User:project description page->User:project description page->project description page:create user account->create user account:success message,Create STEM Project,TRAN_NA,4,0,3,12
7,stl#User:project description page->User:project description page->project description page:create user account->create user account:User account,Create STEM Project,TRAN_NA,4,0,3,12
8,stl#User:success message->User:success message,Create STEM Project,CTRL,2,0,4,8
9,stl#User:success message->User:success message,Create STEM Project,EXTCLL,2,0,4,8
10,stl#User:success message->User:success message,Create STEM Project,INT,2,0,4,8
1,stl#User:Survey detail input page->User:Survey detail input page->Survey detail input page:Input survey brief info->Input survey brief info:Survey db,Create Survey,TRAN_NA,4,0,9,36
2,stl#User:Survey detail input page->User:Survey detail input page->Survey detail input page:Input survey brief info->Input survey brief info:Survey detail page->Survey detail page:add survey detail into db->add survey detail into db:survey has been created message,Create Survey,TRAN_NA,6,0,9,54
3,stl#User:Survey detail page->User:Survey detail page->Survey detail page:add survey detail into db->add survey detail into db:survey has been created message,Create Survey,TRAN_NA,4,0,9,36
4,stl#User:survey has been created message->User:survey has been created message,Create Survey,CTRL,2,0,9,18
5,stl#User:survey has been created message->User:survey has been created message,Create Survey,EXTCLL,2,0,9,18
6,stl#User:survey has been created message->User:survey has been created message,Create Survey,INT,2,0,9,18
1,stl#User:Successfully created message->User:Successfully created message,Create subactivity,CTRL,2,0,3,6
2,stl#User:Create subactivity page->User:Create subactivity page->Create subactivity page:add subactivity into db->add subactivity into db:subactivity db,Create subactivity,TRAN_NA,4,0,4.333333333333333,17.333333333333332
