id,element,useCase,type,component
1,User:success message,Edit site,control,successmessage
2,User:"sites" link,Edit site,boundary,redirecttoapagewiththecurerntsiteslist
3,User:site information edition page,Edit site,boundary,redirecttoapagewiththecurerntsiteslist
4,User:site list,Edit site,boundary,redirecttoapagewiththecurerntsiteslist
5,"sites" link:redirect to a page with the curernt sites list,Edit site,boundary,redirecttoapagewiththecurerntsiteslist
6,display the specific site informaiton form:site information edition page,Edit site,boundary,redirecttoapagewiththecurerntsiteslist
7,display the specific site informaiton form:site information,Edit site,control,displayinvalidemailformat
8,site list:display the specific site informaiton form,Edit site,control,displayinvalidemailformat
9,redirect to a page with the curernt sites list:site information,Edit site,control,displayinvalidemailformat
10,redirect to a page with the curernt sites list:site list,Edit site,boundary,redirecttoapagewiththecurerntsiteslist
11,update the site informaiton in db:site information,Edit site,control,displayinvalidemailformat
12,site information edition page:update the site informaiton in db,Edit site,control,displayinvalidemailformat
13,update the site informaiton in db:success message,Edit site,control,successmessage
14,stl#User:success message,Edit site,Stimulus,undefined
15,stl#User:"sites" link,Edit site,Stimulus,undefined
16,stl#User:site information edition page,Edit site,Stimulus,undefined
17,stl#User:site list,Edit site,Stimulus,undefined
