id,operation,element
1,logMethodEnter,R.ss10.ss
2,logMethodExitWithThrowable,R.ss10.ss
3,logMethodExit,R.ss10.ss
4,<clinit>,R.ss11.ss
5,getProcessId,R.ss11.ss
6,getCurrentThreadInfo,R.ss11.ss
7,object2String,R.ss11.ss
8,getProcessName,R.ss11.ss
9,paramsToString,R.ss11.ss
10,<init>,R.ss12.ss
11,<init>,R.ss14.ss
12,<init>,R.ss15.ss
13,getRunningAppProcessInfo,C.ss36.ss
14,cgroup,C.ss36.ss
15,log,C.ss36.ss
16,<init>,C.ss36.ss
17,stat,C.ss36.ss
18,<clinit>,C.ss36.ss
19,status,C.ss36.ss
20,getGroup,C.ss37.ss
21,getUid,C.ss37.ss
22,<clinit>,C.ss37.ss
23,get,C.ss37.ss
24,getComm,C.ss37.ss
25,policy,C.ss37.ss
26,<init>,C.ss54.ss
27,<clinit>,C.ss54.ss
28,d,C.ss58.ss
29,<init>,C.ss59.ss
30,access$2500,C.ss60.ss
31,access$3102,C.ss60.ss
32,access$200,C.ss60.ss
33,access$300,C.ss60.ss
34,access$6800,C.ss60.ss
35,access$6402,C.ss60.ss
36,access$2800,C.ss60.ss
37,access$5400,C.ss60.ss
38,access$5300,C.ss60.ss
39,access$4700,C.ss60.ss
40,access$5200,C.ss60.ss
41,access$4300,C.ss60.ss
42,access$2000,C.ss60.ss
43,access$100,C.ss60.ss
44,access$5600,C.ss60.ss
45,access$3002,C.ss60.ss
46,access$5900,C.ss60.ss
47,access$7000,C.ss60.ss
48,access$4800,C.ss60.ss
49,access$6100,C.ss60.ss
50,access$700,C.ss60.ss
51,access$2402,C.ss60.ss
52,access$6900,C.ss60.ss
53,access$3800,C.ss60.ss
54,access$2900,C.ss60.ss
55,access$2300,C.ss60.ss
56,access$4400,C.ss60.ss
57,access$400,C.ss60.ss
58,access$002,C.ss60.ss
59,access$2700,C.ss60.ss
60,access$1000,C.ss60.ss
61,access$2100,C.ss60.ss
62,access$4900,C.ss60.ss
63,access$1800,C.ss60.ss
64,access$1700,C.ss60.ss
65,access$1500,C.ss60.ss
66,access$2702,C.ss60.ss
67,access$6700,C.ss60.ss
68,access$5100,C.ss60.ss
69,access$1200,C.ss60.ss
70,access$3700,C.ss60.ss
71,access$600,C.ss60.ss
72,access$800,C.ss60.ss
73,access$3600,C.ss60.ss
74,access$6400,C.ss60.ss
75,access$6600,C.ss60.ss
76,access$3200,C.ss60.ss
77,access$1100,C.ss60.ss
78,access$2602,C.ss60.ss
79,access$4000,C.ss60.ss
80,access$1900,C.ss60.ss
81,access$4100,C.ss60.ss
82,access$2802,C.ss60.ss
83,access$500,C.ss60.ss
84,access$5000,C.ss60.ss
85,access$3100,C.ss60.ss
86,access$900,C.ss60.ss
87,access$4200,C.ss60.ss
88,access$2902,C.ss60.ss
89,access$5502,C.ss60.ss
90,access$2200,C.ss60.ss
91,access$1400,C.ss60.ss
92,access$2302,C.ss60.ss
93,access$3900,C.ss60.ss
94,access$3000,C.ss60.ss
95,access$2600,C.ss60.ss
96,access$4600,C.ss60.ss
97,access$5500,C.ss60.ss
98,access$6300,C.ss60.ss
99,access$3202,C.ss60.ss
100,access$6000,C.ss60.ss
101,access$6502,C.ss60.ss
102,access$6200,C.ss60.ss
103,access$2400,C.ss60.ss
104,access$000,C.ss60.ss
105,access$702,C.ss60.ss
106,access$1300,C.ss60.ss
107,access$5800,C.ss60.ss
108,access$4702,C.ss60.ss
109,access$1600,C.ss60.ss
110,access$5700,C.ss60.ss
111,<init>,C.ss63.ss
112,<init>,C.ss64.ss
113,<init>,C.ss65.ss
114,<init>,C.ss66.ss
115,<init>,C.ss67.ss
116,<init>,C.ss68.ss
117,<init>,C.ss69.ss
118,<init>,C.ss70.ss
119,<init>,C.ss71.ss
120,run,C.ss72.ss
121,<init>,C.ss72.ss
122,<init>,C.ss73.ss
123,run,C.ss73.ss
124,run,C.ss74.ss
125,<init>,C.ss74.ss
126,<init>,C.ss75.ss
127,<init>,C.ss76.ss
128,<init>,C.ss77.ss
129,<init>,C.ss78.ss
130,<init>,C.ss79.ss
131,<init>,C.ss80.ss
132,<init>,C.ss81.ss
133,<init>,C.ss82.ss
134,<init>,C.ss83.ss
135,<init>,C.ss84.ss
136,<init>,C.ss85.ss
137,<init>,C.ss87.ss
138,<init>,C.ss88.ss
139,<init>,C.ss89.ss
140,<init>,C.ss90.ss
141,<init>,C.ss91.ss
142,<init>,C.ss92.ss
143,<init>,C.ss93.ss
144,<init>,C.ss94.ss
145,<init>,C.ss95.ss
146,<init>,C.ss96.ss
147,<init>,C.ss97.ss
148,<init>,C.ss98.ss
149,<init>,C.ss99.ss
150,<init>,C.ss100.ss
151,<init>,C.ss101.ss
152,<init>,C.ss102.ss
153,<init>,C.ss103.ss
154,<init>,C.ss104.ss
155,<init>,C.ss105.ss
156,<init>,C.ss106.ss
157,<init>,C.ss107.ss
158,<init>,C.ss108.ss
159,<init>,C.ss109.ss
160,<init>,C.ss110.ss
161,<init>,C.ss111.ss
162,<init>,C.ss112.ss
163,<init>,C.ss113.ss
164,<init>,C.ss114.ss
165,<init>,C.ss115.ss
166,<init>,C.ss116.ss
167,access$200,C.ss117.ss
168,access$000,C.ss117.ss
169,access$100,C.ss117.ss
170,<init>,C.ss118.ss
171,<init>,C.ss119.ss
172,<init>,C.ss120.ss
173,<init>,C.ss122.ss
174,<init>,C.ss125.ss
175,<init>,C.ss126.ss
176,<init>,C.ss127.ss
177,<init>,C.ss128.ss
