id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,R.ss1.ss,0,0,0,0,0,0
2,R.ss2.ss,0,0,0,0,0,0
3,R.ss3.ss,0,0,0,0,0,0
4,R.ss4.ss,0,0,0,0,0,0
5,R.ss5.ss,0,0,0,0,0,0
6,R.ss6.ss,0,0,0,0,0,0
7,R.ss7.ss,0,0,0,0,0,0
8,R.ss8.ss,0,0,0,0,0,0
9,R.ss9.ss,0,0,0,0,0,0
10,R.ss10.ss,0,0,0,0,0,0
11,R.ss11.ss,0,0,0,0,0,0
12,R.ss12.ss,0,0,0,0,0,0
13,R.ss13.ss,0,0,0,0,0,0
14,R.ss14.ss,0,0,0,0,0,0
15,R.ss15.ss,0,0,0,0,0,0
16,R.ss16.ss,0,0,0,0,0,0
17,R.ss17.ss,0,0,0,0,0,0
18,R.ss18.ss,0,0,0,0,0,0
19,R.ss19.ss,0,0,0,0,0,0
20,R.ss20.ss,0,0,0,0,0,0
21,R.ss21.ss,0,0,0,0,0,0
22,R.ss22.ss,0,0,0,0,0,0
23,R.ss23.ss,0,0,0,0,0,0
24,R.ss24.ss,0,0,0,0,0,0
25,R.ss25.ss,0,0,0,0,0,0
26,R.ss26.ss,0,0,0,0,0,0
27,R.ss27.ss,0,0,0,0,0,0
28,R.ss28.ss,0,0,0,0,0,0
29,R.ss29.ss,0,0,0,0,0,0
30,R.ss30.ss,0,0,0,0,0,0
31,R.ss31.ss,0,0,0,0,0,0
32,C.ss32.ss,0,0,0,0,0,0
33,C.ss33.ss,0,0,0,0,0,0
34,C.ss34.ss,0,0,0,0,0,0
35,C.ss35.ss,0,0,0,0,0,0
36,C.ss36.ss,0,0,0,0,0,0
37,C.ss37.ss,0,0,0,0,0,0
38,C.ss38.ss,0,0,0,0,0,0
39,C.ss39.ss,0,0,0,0,0,0
40,C.ss40.ss,0,0,0,0,0,0
41,C.ss41.ss,0,0,0,0,0,0
42,C.ss42.ss,0,0,0,0,0,0
43,C.ss43.ss,0,0,0,0,0,0
44,C.ss44.ss,0,0,0,0,0,0
45,C.ss45.ss,0,0,0,0,0,0
