id,attribute,type,element
1,group,java.lang.String,C.ss36.ss
2,group,java.lang.String,C.ss36.ss
3,subsystems,java.lang.String,C.ss36.ss
4,group,java.lang.String,C.ss36.ss
5,group,java.lang.String,C.ss36.ss
6,group,java.lang.String,C.ss36.ss
7,group,java.lang.String,C.ss36.ss
8,group,java.lang.String,C.ss36.ss
9,CREATOR,android.os.Parcelable$Creator,C.ss36.ss
10,pid,int,C.ss54.ss
11,name,java.lang.String,C.ss54.ss
12,foreground,boolean,C.ss54.ss
13,uid,int,C.ss54.ss
14,uid,int,C.ss54.ss
15,uid,int,C.ss54.ss
16,name,java.lang.String,C.ss54.ss
17,foreground,boolean,C.ss54.ss
18,this$0,org.anothermonitor.ActivityMain,C.ss74.ss
19,this$0,org.anothermonitor.ActivityMain,C.ss74.ss
20,this$0,org.anothermonitor.ActivityMain,C.ss74.ss
21,this$0,org.anothermonitor.ActivityMain,C.ss74.ss
22,this$0,org.anothermonitor.ActivityMain,C.ss74.ss
23,this$0,org.anothermonitor.ActivityMain,C.ss74.ss
24,this$0,org.anothermonitor.ActivityMain,C.ss74.ss
25,this$0,org.anothermonitor.ActivityMain,C.ss85.ss
26,this$0,org.anothermonitor.ActivityMain,C.ss87.ss
27,this$0,org.anothermonitor.ActivityMain,C.ss87.ss
28,this$0,org.anothermonitor.ActivityMain,C.ss87.ss
29,this$0,org.anothermonitor.ActivityMain,C.ss95.ss
30,this$0,org.anothermonitor.ActivityMain,C.ss95.ss
31,this$0,org.anothermonitor.ActivityMain,C.ss95.ss
32,this$0,org.anothermonitor.ActivityMain,C.ss97.ss
33,this$0,org.anothermonitor.ActivityMain,C.ss97.ss
34,this$0,org.anothermonitor.ActivityMain,C.ss97.ss
35,this$0,org.anothermonitor.ActivityMain,C.ss99.ss
36,this$0,org.anothermonitor.ActivityMain,C.ss99.ss
37,this$0,org.anothermonitor.ActivityMain,C.ss99.ss
38,this$0,org.anothermonitor.ActivityMain,C.ss101.ss
39,this$0,org.anothermonitor.ActivityMain,C.ss101.ss
40,this$0,org.anothermonitor.ActivityMain,C.ss101.ss
41,this$0,org.anothermonitor.ActivityMain,C.ss107.ss
42,this$0,org.anothermonitor.ActivityMain,C.ss107.ss
43,this$0,org.anothermonitor.ActivityMain,C.ss107.ss
44,l,android.widget.LinearLayout,C.ss121.ss
45,iv,android.widget.ImageView,C.ss121.ss
46,tvPAppName,android.widget.TextView,C.ss121.ss
47,tvPName,android.widget.TextView,C.ss121.ss
48,tvPName,android.widget.TextView,C.ss121.ss
49,selected,boolean,C.ss121.ss
50,iv,android.widget.ImageView,C.ss121.ss
51,tvPAppName,android.widget.TextView,C.ss121.ss
52,l,android.widget.LinearLayout,C.ss121.ss
53,selected,boolean,C.ss121.ss
54,selected,boolean,C.ss121.ss
55,selected,boolean,C.ss121.ss
56,l,android.widget.LinearLayout,C.ss121.ss
57,iv,android.widget.ImageView,C.ss121.ss
