id,element,useCase,type,component
1,User:Homepage,Approve Hire,boundary,Login Page
2,User:marks the user as approved,Approve Hire,entity,user
3,User:Approve Hire,Approve Hire,control,Hiring Report
4,Approve Hire:returns the correct applicant,Approve Hire,control,Review application controller
5,Show confirmation page:Approve Hire,Approve Hire,control,Hiring Report
6,Approve Hire db:Homepage,Approve Hire,boundary,Login Page
7,Show confirmation page:Approve Hire db,Approve Hire,control,Hiring Report
8,modifies the Applicant profile to reflect User's change:Approve Hire db,Approve Hire,control,Hiring Report
9,Show confirmation page:Homepage,Approve Hire,boundary,Login Page
10,returns the correct applicant:Show confirmation page,Approve Hire,control,Online application page
11,marks the user as approved:modifies the Applicant profile to reflect User's change,Approve Hire,control,Review application controller
12,returns the correct applicant:modifies the Applicant profile to reflect User's change,Approve Hire,control,Review application controller
13,stl#User:Homepage,Approve Hire,Stimulus,undefined
14,stl#User:marks the user as approved,Approve Hire,Stimulus,undefined
15,stl#User:Approve Hire,Approve Hire,Stimulus,undefined
