id,element,useCase,type,component
1,Neighbourhoods button:display dropdown list for neighborhoods,Visit interative map,boundary,overmouseoveraneighborhoodpoint
2,Visitor:Neighbourhoods button,Visit interative map,boundary,overmouseoveraneighborhoodpoint
3,check the validation of the link:display corresponding page,Visit interative map,control,displayanewsectionondashboard
4,check the validation of the link:link in the box,Visit interative map,entity,validatethelinkofimage
5,check the validation of the link:display 404 or 500 page,Visit interative map,control,displayanewsectionondashboard
6,choose map:display an interative map,Visit interative map,control,displayanewsectionondashboard
7,display dropdown list for neighborhoods:choose map,Visit interative map,boundary,choosemap
8,Visitor:choose map,Visit interative map,boundary,choosemap
9,show a box containing community arts program and tours:community arts program and trouds,Visit interative map,control,communityartsprogramandtrouds
10,Visitor:display 404 or 500 page,Visit interative map,control,displayanewsectionondashboard
11,display an interative map:over mouse over a neighborhood point,Visit interative map,boundary,overmouseoveraneighborhoodpoint
12,display corresponding page:display neighborhood page,Visit interative map,boundary,overmouseoveraneighborhoodpoint
13,Visitor:display neighborhood page,Visit interative map,boundary,overmouseoveraneighborhoodpoint
14,Visitor:link in the box,Visit interative map,entity,validatethelinkofimage
15,over mouse over a neighborhood point:show a box containing community arts program and tours,Visit interative map,control,communityartsprogramandtrouds
16,Visitor:over mouse over a neighborhood point,Visit interative map,boundary,overmouseoveraneighborhoodpoint
17,stl#Visitor:Neighbourhoods button,Visit interative map,Stimulus,undefined
18,stl#Visitor:choose map,Visit interative map,Stimulus,undefined
19,stl#Visitor:display 404 or 500 page,Visit interative map,Stimulus,undefined
20,stl#Visitor:display neighborhood page,Visit interative map,Stimulus,undefined
21,stl#Visitor:link in the box,Visit interative map,Stimulus,undefined
22,stl#Visitor:over mouse over a neighborhood point,Visit interative map,Stimulus,undefined
