id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff,AVG_DETs
8,stl#User:node is not updated message->User:node is not updated message,Edit nodes in table,CTRL;EXTCLL;INT,2,0,2,1,4,0
3,stl#User:sector label of the questions is updated->User:sector label of the questions is updated,View 3D Viz,CTRL,2,0,2,1,4,0
3,stl#User:sector label of the questions is updated->User:sector label of the questions is updated,add categories,CTRL,2,0,2,1,4,0
7,stl#User:average value in the sphere->User:average value in the sphere,view data averages,CTRL,2,0,6,1,12,0
5,stl#administrator:path list->administrator:path list,Navigate in the category list,CTRL,2,0,7,1,14,0
6,stl#administrator:survey list->administrator:survey list,Navigate in the category list,CTRL,2,0,6,1,12,0
15,stl#administrator:question->administrator:question,Navigate in the category list,CTRL;EXTCLL;INT,2,0,10,1,20,0
16,stl#administrator:question list->administrator:question list,Navigate in the category list,CTRL;EXTCLL;INT,2,0,10,1,20,0
5,stl#administrator:same school and name message->administrator:same school and name message,add a school by name or address,CTRL,2,0,3,1,6,0
1,stl#administrator:category button->administrator:category button,answer survey questions,CTRL,2,0,5,1,10,0
6,stl#administrator:same school and name message->administrator:same school and name message,modify a shcool name,CTRL,2,0,2,1,4,0
19,stl#administrator:survey list->administrator:survey list,start a new survey,CTRL,2,0,9,1,18,0
1,stl#User:success message->User:success message,Add Site,CTRL;EXTCLL;INT,2,0,2,1,4,0
3,stl#User:success message->User:success message,Add User,CTRL;EXTCLL;INT,2,0,7,1,14,0
8,stl#User:log out message->User:log out message,Browse Volunteer,CTRL;EXTCLL;INT,2,0,4,1,8,0
1,stl#User:success message->User:success message,Delete Site,CTRL;EXTCLL;INT,2,0,4,1,8,0
7,stl#User:success message->User:success message,Delete User,CTRL;EXTCLL;INT,2,0,4,1,8,0
16,stl#User:success message->User:success message,Edit Annoucement,CTRL;EXTCLL;INT,2,0,4,1,8,0
12,stl#User:success message->User:success message,Edit User,CTRL;EXTCLL;INT,2,0,6,1,12,0
10,stl#User:success message->User:success message,Edit site,CTRL;EXTCLL;INT,2,0,2,1,4,0
22,stl#User:success message->User:success message,Manage JEP Documents,CTRL;EXTCLL;INT,2,0,4,1,8,0
4,stl#User:Homepage->User:Homepage,Add new pages,CTRL;EXTCLL;INT,2,1,8,1,16,0.5
1,stl#User:Homepage->User:Homepage,Add/Remove Product in Shopping cart,CTRL;EXTCLL;INT,2,1,3,1,6,0.5
4,stl#User:Homepage->User:Homepage,Change website designs,CTRL;EXTCLL;INT,2,1,3,1,6,0.5
1,stl#User:Homepage->User:Homepage,Contact the admin using the contact form,CTRL;EXTCLL;INT,2,1,2,1,4,0.5
4,stl#User:Homepage->User:Homepage,Maintain blog,CTRL;EXTCLL;INT,2,1,2,1,4,0.5
4,stl#User:Homepage->User:Homepage,Updated via Social Media,CTRL;EXTCLL;INT,2,1,2,1,4,0.5
1,stl#User:Homepage->User:Homepage,Use website to Purchase product,CTRL;EXTCLL;INT,2,1,2,1,4,0.5
3,stl#User:Homepage->User:Homepage,View Product,CTRL;EXTCLL;INT,2,1,2,1,4,0.5
