NUM	PROJ	UseCase_Num	Tran_Num	Activity_Num	Component_Num	Precedence_Num	Stimulus_Num	Tran_Num	UseCase_Num	Activity_Num	Actor_Num	Avg_Actor	Boundary_Num	ControlNum	Entity_Num	Component_num	Attribute_num	Operation_num	class_num	Top_Level_Classes	Average_Depth_Inheritance_Tree	Average_Number_Of_Children_Per_Base_Class	Number_Of_Inheritance_Relationships	Depth_Inheritance_Tree	para_num	usage_num	real_num	assoc_num	externaloper_num	objectdata_num	avg_operation	avg_attribute	avg_parameter	avg_usage	avg_real	avg_assoc	avg_instVar	weightedoper_num	method_size	EI	EQ	INT	DM	CTRL	EXTIVK	EXTCLL	TRAN_NA	NT	Avg_TL	Avg_TD	Arch_Diff	DET	RET	ILF	EIF	EI	EO	EQ	FN	FP	Type	Effort_Norm	Norm_Factor	KSLOC	Effort	UAW	TCF	EF	Simple_UC	 Average_UC	 Complex_UC	 Effort_Norm_UCP	 Effort_Norm_COCOMO	 UUCP	 UCP	EUCP	EXUCP	DUCP	SWTI	SWTII	SWTIII	NOET	NOAAE	NORT	NEM	NSR	NOA	NOS	WMC	MPC	NOCH	DIT	CBO	NIVPC	NUMS	NCI	NCIF	RR	NTLC	ANWMC	ADIT	NOCPBC	EIF	ILF	DET	FTR	NT	NOC	NOA	NOA	NOUC	NOR	ANAPUC	ANRPUC	UCP	NOC	NOIR	NOUR	NORR	NOM	NOP	NOCAL	NOASSOC	ANMC	ANPC	ANCAC	ANASSOCC	ANRELC	NOC	NOAPC	NODET	NORET	NOA	NOMPC	NPPM	NMT	Num_User_Story	 Num_Tasks	 project_manager_estimate	 developer_estimate	transaction_file
1	F13a_Yanomamo Interactive CDROM_2018-8-13@1536883073385	9	31	79	13	53	24	31	18	79	0	0	47	16	13	55	10	7	13	13	0	0	0	0	0	0	0	0	7	4	0.538461538	0.769230769	0	0	0	0	0.769230769	0.9	0	0	0	5	0	9	0	5	12	9	8.222222222	NaN	NaN	10	13	78	24	0	0	124	31	226	Unknown	NA	NA	NA	NA	0	1	1	5	3	1	0	0	70	70	31.4588	33.294	38.7548	31.4588	33.294	38.7548	0	10	0	7	7	0	9	0.9	0.538461538	0	0	0	0.769230769	0	0	0	0	13	0.069230769	0	0	0	0	0	0	2	13	0	0	9	0	0	0	0	13	0	0	0	7	0	10	0	0.538461538	0	0.769230769	0	0	13	0.769230769	0	0	0	0	0	7	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2013-2014\F13a_Yanomamo Interactive CDROM_2018-8-13@1536883073385_analysis\filteredTransactionEvaluation.csv
1	F14a_black_professionals_net_2018-8-13@1536885427872	26	488	499	46	465	118	488	52	499	0	0	130	320	46	381	98	78	46	46	0	0	0	0	97	0	0	0	78	4	1.695652174	2.130434783	2.108695652	0	0	0	2.130434783	7.2	0	21	0	23	21	98	0	44	382	98	37.05102041	NaN	NaN	98	46	294	58	0	0	1952	488	2304	Unknown	NA	NA	NA	NA	0	1	1	0	6	20	0	0	360	360	495.2224	772.1877	1025.5809	495.2224	772.1877	1025.5809	0	98	0	78	78	0	26	7.2	1.695652174	0	0	0	2.130434783	0	0	0	0	46	0.156521739	0	0	0	0	0	0	18	46	0	0	26	0	0	0	0	46	0	0	0	78	97	98	0	1.695652174	2.108695652	2.130434783	0	0	46	2.130434783	0	0	0	0	2.108695652	78	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\F14a_black_professionals_net_2018-8-13@1536885427872_analysis\filteredTransactionEvaluation.csv
1	f14a_cash_doctor_2018-8-13@1536885427877	10	58	131	17	117	31	58	20	131	0	0	88	10	17	100	35	0	17	17	0	0	0	0	0	0	0	0	0	5	0	2.058823529	0	0	0	0	2.058823529	0	0	0	0	6	0	6	0	6	51	6	49	NaN	NaN	35	17	54	71	0	0	232	58	357	Unknown	NA	NA	NA	NA	0	1	1	1	4	5	0	0	120	120	58.8584	76.7279	105.8919	58.8584	76.7279	105.8919	0	35	0	0	0	0	10	0	0	0	0	0	2.058823529	0	0	0	0	17	0	0	0	0	0	0	0	5	17	0	0	10	0	0	0	0	17	0	0	0	0	0	35	0	0	0	2.058823529	0	0	17	2.058823529	0	0	0	0	0	0	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\f14a_cash_doctor_2018-8-13@1536885427877_analysis\filteredTransactionEvaluation.csv
1	f14a_e_lock_box_2018-8-13@1536885427877	16	450	519	42	426	168	450	32	519	0	0	128	220	42	351	161	0	42	42	0	0	0	0	0	0	0	0	0	32	0	3.833333333	0	0	0	0	3.833333333	0	0	26	0	34	26	78	0	60	302	78	25.53846154	NaN	NaN	161	42	258	47	0	0	1800	450	2105	Unknown	NA	NA	NA	NA	0	1	1	0	0	16	0	0	240	240	456.66	602.7855	828.2645	456.66	602.7855	828.2645	0	161	0	0	0	0	16	0	0	0	0	0	3.833333333	0	0	0	0	42	0	0	0	0	0	0	0	39	42	0	0	16	0	0	0	0	42	0	0	0	0	0	161	0	0	0	3.833333333	0	0	42	3.833333333	0	0	0	0	0	0	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\f14a_e_lock_box_2018-8-13@1536885427877_analysis\filteredTransactionEvaluation.csv
1	f14a_gotrla_2018-8-13@1536885427878	10	112	175	21	148	42	112	20	175	0	0	32	134	21	133	80	0	21	21	0	0	0	0	0	0	0	0	0	10	0	3.80952381	0	0	0	0	3.80952381	0	0	1	0	13	1	33	0	14	76	33	16.45454545	NaN	NaN	80	21	156	17	0	0	448	112	621	Unknown	NA	NA	NA	NA	0	1	1	0	0	10	0	0	150	150	113.6576	144.396	203.4431	113.6576	144.396	203.4431	0	80	0	0	0	0	10	0	0	0	0	0	3.80952381	0	0	0	0	21	0	0	0	0	0	0	0	9	21	0	0	10	0	0	0	0	21	0	0	0	0	0	80	0	0	0	3.80952381	0	0	21	3.80952381	0	0	0	0	0	0	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\f14a_gotrla_2018-8-13@1536885427878_analysis\filteredTransactionEvaluation.csv
1	F14a_mobile_application_for_mobile_controlled_lighting_2018-8-13@1536885427878	5	27	59	8	49	14	27	10	59	0	0	15	38	8	45	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	22	5	24.2	NaN	NaN	0	8	60	14	0	0	108	27	182	Unknown	NA	NA	NA	NA	0	1	1	1	0	4	0	0	65	65	27.3996	32.3166	34.0401	27.3996	32.3166	34.0401	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	8	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\F14a_mobile_application_for_mobile_controlled_lighting_2018-8-13@1536885427878_analysis\filteredTransactionEvaluation.csv
1	F14a_REFERsy_2018-8-13@1536885427878	10	62	137	18	107	37	62	20	137	0	0	44	94	18	100	13	0	18	18	0	0	0	0	0	0	0	0	0	6	0	0.722222222	0	0	0	0	0.722222222	0	0	2	0	18	2	29	0	20	26	29	7.448275862	NaN	NaN	13	18	135	19	0	0	248	62	402	Unknown	NA	NA	NA	NA	0	1	1	1	2	7	0	0	130	130	62.9176	69.6015	76.2461	62.9176	69.6015	76.2461	0	13	0	0	0	0	10	0	0	0	0	0	0.722222222	0	0	0	0	18	0	0	0	0	0	0	0	1	18	0	0	10	0	0	0	0	18	0	0	0	0	0	13	0	0	0	0.722222222	0	0	18	0.722222222	0	0	0	0	0	0	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\F14a_REFERsy_2018-8-13@1536885427878_analysis\filteredTransactionEvaluation.csv
1	F14a_sharethetraining_com_2018-8-13@1536885427878	13	91	191	32	159	48	91	26	191	0	0	59	154	32	143	99	31	32	32	0	0	0	0	31	0	0	0	31	8	0.96875	3.09375	0.96875	0	0	0	3.09375	4.5	0	3	0	19	3	49	0	22	37	49	7.591836735	NaN	NaN	99	32	181	50	0	0	364	91	595	Unknown	NA	NA	NA	NA	0	1	1	1	3	9	0	0	170	170	92.3468	106.448	141.5888	92.3468	106.448	141.5888	0	99	0	31	31	0	13	4.5	0.96875	0	0	0	3.09375	0	0	0	0	32	0.140625	0	0	0	0	0	0	9	32	0	0	13	0	0	0	0	32	0	0	0	31	31	99	0	0.96875	0.96875	3.09375	0	0	32	3.09375	0	0	0	0	0.96875	31	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\F14a_sharethetraining_com_2018-8-13@1536885427878_analysis\filteredTransactionEvaluation.csv
1	F14a_snapp_voice_communication_system_2018-8-13@1536885427879	8	55	131	18	104	40	55	16	131	0	0	18	64	18	91	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	5	18	0	6	37	18	12.5	NaN	NaN	0	18	150	21	0	0	220	55	391	Unknown	NA	NA	NA	NA	0	1	1	2	2	4	0	0	90	90	55.814	64.0586	69.403	55.814	64.0586	69.403	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	10	18	0	0	8	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\F14a_snapp_voice_communication_system_2018-8-13@1536885427879_analysis\filteredTransactionEvaluation.csv
1	F14a_soccer_data_web_crawler_2018-8-13@1536885427879	8	45	103	12	97	21	45	16	103	0	0	0	104	12	82	1	0	12	12	0	0	0	0	0	0	0	0	0	1	0	0.083333333	0	0	0	0	0.083333333	0	0	3	0	0	3	17	0	3	22	17	12.88235294	NaN	NaN	1	12	117	0	0	0	180	45	297	Unknown	NA	NA	NA	NA	0	1	1	1	0	7	0	0	110	110	45.666	58.1841	60.1155	45.666	58.1841	60.1155	0	1	0	0	0	0	8	0	0	0	0	0	0.083333333	0	0	0	0	12	0	0	0	0	0	0	0	9	12	0	0	8	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0.083333333	0	0	12	0.083333333	0	0	0	0	0	0	0	0	0	0	C:\Users\flyqk\Documents\Google Drive\ResearchSpace\Repositories\577 projects\2014-2015\F14a_soccer_data_web_crawler_2018-8-13@1536885427879_analysis\filteredTransactionEvaluation.csv
