NUM,PROJ,KSLOC,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Effort,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,Effort_Norm_UCP
2,F14a_soccer_data_web_crawler,2.258,8,0,103,0,0,0,0,0,0,0,8,1,0,8,7,0.125,0.142857143,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.125,0,0,0,0,0.125,0,0,NaN,1,0,0,0,0,0,0,9,0,0,2,0,36,0,2,9,36,undefined,undefined,,206.5498223,0.722862743,2.258,268.5,0,0,8,0,120,87,87,6,0.915,1.025,118.17,87.22,87.22,450,675,540,194.09
9,F14a_tipsure_com,0.73,8,0,185,0,0,0,0,0,0,0,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,14,0,0,1,0,1,0,1,79,1,undefined,undefined,,734.2446645,1.479827535,0.73,266,0,0,8,0,120,2,2,9,0.855,1.025,113.05,9.64,9.64,800,1200,960,393.63
6,F14a_women_at_work_website_redesign,3.2,8,0,102,0,0,0,0,0,0,0,11,27,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2.454545455,0,0,0,0,2.454545455,0,0,NaN,1,0,0,0,0,0,0,3,0,0,6,0,6,0,6,33,6,undefined,undefined,,415.8336444,1.712683888,3.2,140.5,0,0,8,0,120,12,12,12,0.855,1.025,115.68,21.03,21.03,390,585,468,240.63
12,F15a_combat_conflict,7.593,7,0,76,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,3,0,0,10,0,10,0,10,25,10,undefined,undefined,,1064.700087,0.891412662,7.593,1281,0,0,7,0,105,20,20,6,0.795,0.92,81.19,19.02,19.02,350,525,420,1141.9
16,F15a_construction_meeting_minutes_application,1.386,18,0,250,0,0,0,0,0,0,0,11,5,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.454545455,0,0,0,0,0.454545455,0,0,NaN,1,0,0,0,0,0,0,5,0,0,24,0,24,0,24,119,24,undefined,undefined,,2837.803232,1.379603066,1.386,1482.5,0,0,18,0,270,48,48,6,0.925,0.95,242.53,47.45,47.45,1430,2145,1716,2045.26
6,F15a_construction_meeting_minutes_application,1.386,18,0,250,0,0,0,0,0,0,0,11,5,0,11,18,0.052631579,0.055555556,1,1,1,1,1,1,1,0,0,0,0,0,4,0,0.454545455,0,0,0,0,0.454545455,0,0,NaN,1,0,0,0,0,0,0,5,0,0,27,0,100,0,27,43,100,undefined,undefined,,2837.803232,1.379603066,1.386,1482.5,0,0,18,0,270,206,206,6,0.925,0.95,242.53,186.3,186.3,1430,2145,1716,2045.26
3,F15a_nice_ecommerse,5.129,24,0,262,0,0,0,0,0,0,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,5,0,0,25,0,30,0,25,95,30,undefined,undefined,,474.8157347,0.93928736,5.129,617,0,0,24,0,360,60,60,9,0.805,1.025,304.47,56.93,56.93,1250,1875,1500,579.54
10,F15a_tour_conductor,3.679,8,0,83,0,0,0,0,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2.333333333,0,0,0,0,2.333333333,0,0,NaN,1,0,0,0,0,0,0,6,0,0,8,0,8,0,8,26,8,undefined,undefined,,3279.959597,1.877501954,3.679,1347,0,0,8,0,120,16,16,9,0.885,0.89,101.61,19.69,19.69,340,510,408,2529
13,S13b_PTS_RID,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
5,S13b_SomaticsWeb_DataServices,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined,undefined,,NaN,NaN,2.31,541,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN
