NUM,PROJ,Path_Num,UseCase_Num,Total_Degree,Element_Num,Total_Links,Actor_Num,Role_Num,Avg_Actor,Avg_Role,Boundary_Num,ControlNum,Entity_Num,attribute_num,operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Number_Of_Derived_Classes,Number_Of_Classes_Inherited,Number_Of_Classes_Inherited_From,Number_Of_Children,Depth_Inheritance_Tree,Coupling_Between_Objects, para_num, usage_num, real_num, assoc_num, externaloper_num, objectdata_num, avg_operation, avg_attribute, avg_parameter, avg_usage, avg_real, avg_assoc, avg_instVar, weightedoper_num, method_size,DET,RET,ILF,EIF,EI,EO,EQ,FN,FUNC_NA,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Tran_Length,Arch_Diff,Type,Effort_Norm,Norm_Factor,KSLOC,Effort,Simple_UC, Average_UC, Complex_UC, Normalized_UC_Effort,UEUCW,UEXUCW,UDUCW,UAW,TCF,EF,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,Effort_Norm_UCP
1,f14a_cash_doctor,58,10,0,131,0,0,0,0,0,0,0,10,35,0,10,215,0.11688311688311688,0.08056872037914692,23,17,23,25,17,27,25,0,0,0,0,0,5,0,3.5,0,0,0,0,3.5,0,0,NaN,1,0,0,0,0,0,0,5,0,0,6,0,6,0,6,52,6,undefined,undefined,,1146.3565950355846,0.9005821763744379,2.95,724,0,0,10,0,150,12,12,9,0.9,1.025,146.68,19.37,19.37,580.00,870.00,696.00,652.02
2,F14a_snapp_voice_communication_system,55,8,0,131,0,0,0,0,0,0,0,16,0,0,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,10,0,0,15,0,18,0,15,37,18,undefined,undefined,,139.19105309722607,1.3887796596954196,2.218,103,0,0,8,0,120,36,36,12,0.955,1.025,129.21,46.99,46.99,550.00,825.00,660.00,143.04
3,F15a_nice_ecommerse,125,24,0,262,0,0,0,0,0,0,0,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,5,0,0,25,0,30,0,25,95,30,undefined,undefined,,474.8157347401318,0.9392873596919727,5.129,617,0,0,24,0,360,60,60,9,0.805,1.025,304.47,56.93,56.93,1250.00,1875.00,1500.00,579.54
4,s16b_combat_conflict,35,7,0,76,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,3,0,0,10,0,10,0,10,25,10,undefined,undefined,,NA,NA,NA,NA,0,0,7,0,105,20,20,0,0,0,0.00,0.00,0.00,350.00,525.00,420.00,0.00
5,f14a_gotrla,112,10,0,175,0,0,0,0,0,0,0,15,80,0,15,267,0.09859154929577464,0.06463878326996197,24,17,24,26,17,28,26,0,0,0,0,0,10,0,5.333333333333333,0,0,0,0,5.333333333333333,0,0,NaN,1,0,0,0,0,0,0,9,0,0,18,0,18,0,18,94,18,undefined,undefined,,567.9063204729302,1.4143291341901338,6.569,482,0,0,10,0,150,36,36,9,0.835,0.995,132.10,37.39,37.39,1120.00,1680.00,1344.00,681.71
6,F14a_women_at_work_website_redesign,39,8,0,102,0,0,0,0,0,0,0,11,27,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2.4545454545454546,0,0,0,0,2.4545454545454546,0,0,NaN,1,0,0,0,0,0,0,3,0,0,6,0,6,0,6,33,6,undefined,undefined,,415.83364443983913,1.7126838881818716,3.2,140.5,0,0,8,0,120,12,12,12,0.855,1.025,115.68,21.03,21.03,390.00,585.00,468.00,240.63
7,S15b_mission_science_irobots,52,10,0,125,0,0,0,0,0,0,0,14,3,16,14,14,0,0,0,0,0,0,0,0,0,20,0,0,0,16,1,1.1428571428571428,0.21428571428571427,1.4285714285714286,0,0,0,0.21428571428571427,0,0,NaN,1,0,0,0,0,0,0,5,0,0,10,0,10,0,10,42,10,undefined,undefined,,2025.425626809345,1.9078946866186348,12.263,759,0,0,10,0,150,20,20,6,0.865,1.175,158.55,26.43,26.43,520.00,780.00,624.00,1448.09
8,f14a_e_lock_box,450,16,0,519,0,0,0,0,0,0,0,38,165,0,38,253,0.10037174721189591,0.06827309236947791,23,17,23,25,17,27,25,0,0,0,0,0,33,0,4.342105263157895,0,0,0,0,4.342105263157895,0,0,NaN,1,0,0,0,0,0,0,39,0,0,79,0,79,0,79,371,79,undefined,undefined,,135.4849136959234,1.1246649996019158,1.1,125,0,0,16,0,240,158,158,12,0.93,0.8,187.49,126.48,126.48,4500.00,6750.00,5400.00,140.58
9,F14a_tipsure_com,80,8,0,185,0,0,0,0,0,0,0,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,14,0,0,1,0,1,0,1,79,1,undefined,undefined,,734.244664541531,1.4798275351929129,0.73,266,0,0,8,0,120,2,2,9,0.855,1.025,113.05,9.64,9.64,800.00,1200.00,960.00,393.63
10,F15a_tour_conductor,34,8,0,83,0,0,0,0,0,0,0,9,21,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2.3333333333333335,0,0,0,0,2.3333333333333335,0,0,NaN,1,0,0,0,0,0,0,6,0,0,8,0,8,0,8,26,8,undefined,undefined,,3279.959597411134,1.877501953952222,3.679,1347,0,0,8,0,120,16,16,9,0.885,0.89,101.61,19.69,19.69,340.00,510.00,408.00,2529.00
