id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:invalid security questions,Reset Security Questions,0,undefined,undefined
2,Administrator:case management page,Reset Security Questions,0,undefined,undefined
3,Administrator:unauthorized error message,Reset Security Questions,0,undefined,undefined
4,Administrator:security questions reset page,Reset Security Questions,0,undefined,undefined
5,Administrator:Reset security questions,Reset Security Questions,0,undefined,undefined
6,Case manager:Reset security questions,Reset Security Questions,0,undefined,undefined
7,Case manager:case management page,Reset Security Questions,0,undefined,undefined
8,Case manager:unauthorized error message,Reset Security Questions,0,undefined,undefined
9,Case manager:invalid security questions,Reset Security Questions,0,undefined,undefined
10,Case manager:security questions reset page,Reset Security Questions,0,undefined,undefined
11,Reset security questions:validate role of user,Reset Security Questions,0,undefined,undefined
12,save updated security questions:Security questions,Reset Security Questions,0,undefined,undefined
13,save updated security questions:case management page,Reset Security Questions,0,undefined,undefined
14,validate typed in security questions:invalid security questions,Reset Security Questions,0,undefined,undefined
15,validate role of user:role,Reset Security Questions,0,undefined,undefined
16,validate typed in security questions:save updated security questions,Reset Security Questions,0,undefined,undefined
17,security questions reset page:validate typed in security questions,Reset Security Questions,0,undefined,undefined
18,validate role of user:security questions reset page,Reset Security Questions,0,undefined,undefined
19,validate role of user:unauthorized error message,Reset Security Questions,0,undefined,undefined
20,stl#Administrator:invalid security questions,Reset Security Questions,0,undefined,undefined
21,stl#Administrator:case management page,Reset Security Questions,0,undefined,undefined
22,stl#Administrator:unauthorized error message,Reset Security Questions,0,undefined,undefined
23,stl#Administrator:security questions reset page,Reset Security Questions,0,undefined,undefined
24,stl#Administrator:Reset security questions,Reset Security Questions,0,undefined,undefined
25,stl#Case manager:Reset security questions,Reset Security Questions,0,undefined,undefined
26,stl#Case manager:case management page,Reset Security Questions,0,undefined,undefined
27,stl#Case manager:unauthorized error message,Reset Security Questions,0,undefined,undefined
28,stl#Case manager:invalid security questions,Reset Security Questions,0,undefined,undefined
29,stl#Case manager:security questions reset page,Reset Security Questions,0,undefined,undefined
