id,element,useCase,type,component
1,User:Homepage,login,control,Answersfrompagestoredascookie
2,User:Click Continue button,login,boundary,clicksnext
3,User:User does not select any radio button,login,boundary,User
4,User:Click on login in page,login,boundary,clicksnext
5,Click Continue button:imput usename and password ,login,control,Answersfrompagestoredascookie
6,Click on login in page:imput usename and password ,login,control,Answersfrompagestoredascookie
7,show confirmation:Homepage,login,control,Answersfrompagestoredascookie
8,User does not select any radio button:validate usename and password,login,control,Answersfrompagestoredascookie
9,imput usename and password :validate usename and password,login,control,Answersfrompagestoredascookie
10,validate usename and password:show confirmation,login,control,Showsdatabaseinformation
11,stl#User:Homepage,login,Stimulus,undefined
12,stl#User:Click Continue button,login,Stimulus,undefined
13,stl#User:User does not select any radio button,login,Stimulus,undefined
14,stl#User:Click on login in page,login,Stimulus,undefined
