id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Group status change,boundary,0,2,Join/leave group,Join/leave group,
2,Show corresponding status,control,1,1,Join/leave group,Join/leave group,
3,Save corresponding status,control,2,1,Join/leave group,Join/leave group,
4,Confirmation dialog,boundary,2,2,Join/leave group,Join/leave group,
5,group,entity,0,1,Join/leave group,Join/leave group,
6,Popup confirmation dialog,control,2,2,Join/leave group,Join/leave group,
7,join/leave group button,boundary,1,2,Join/leave group,Join/leave group,
8,User,actor,3,0,Join/leave group,Join/leave group,
