id,element,useCase,type,component
1,User:demo instruction create panel,Demo,boundary,demoinstructioncreatepanel
2,User:demo selector,Demo,boundary,demoinstructioncreatepanel
3,User:demo is saved message,Demo,boundary,demoissavedmessage
4,change the parameters of the elements:save demo instructions,Demo,boundary,demoinstructioncreatepanel
5,demo selector:change the parameters of the elements,Demo,control,parametersetdialog
6,save demo instructions:demo,Demo,boundary,demoissavedmessage
7,demo instruction create panel:display the dragged and dropped demo instructions,Demo,boundary,demoinstructioncreatepanel
8,save demo instructions:demo is saved message,Demo,boundary,demoissavedmessage
9,demo selector:save demo instructions,Demo,boundary,demoinstructioncreatepanel
10,popup demo change dialog:demo selector,Demo,boundary,demoinstructioncreatepanel
11,display the dragged and dropped demo instructions:popup demo change dialog,Demo,control,parametersetdialog
12,stl#User:demo instruction create panel,Demo,Stimulus,undefined
13,stl#User:demo selector,Demo,Stimulus,undefined
14,stl#User:demo is saved message,Demo,Stimulus,undefined
