id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,activation success message,boundary,0,2,Inactivate user,Inactivate user,
2,inactivtate the user,control,2,1,Inactivate user,Inactivate user,
3,user is already inactivated error,boundary,0,2,Inactivate user,Inactivate user,
4,User,entity,0,1,Inactivate user,Inactivate user,
5,check the status of user,control,2,1,Inactivate user,Inactivate user,
6,role,entity,0,1,Inactivate user,Inactivate user,
7,user management page,boundary,1,2,Inactivate user,Inactivate user,
8,unauthorized error message,boundary,0,2,Inactivate user,Inactivate user,
9,validate role of user,control,3,1,Inactivate user,Inactivate user,
10,User management button,boundary,1,1,Inactivate user,Inactivate user,
11,Administrator,actor,5,0,Inactivate user,Inactivate user,
