id,attribute,type,element
1,Assignment Name,EAJava_string,ClassGrade Info
2,Class bubble #,EAJava_int,ClassGrade Info
3,Class Date,EAJava_date,ClassGrade Info
4,semester,EAJava_char,ClassGrade Info
5,Student Grade,EAJava_char,ClassGrade Info
6,Student ID,EAJava_int,ClassGrade Info
7,Class bubble #,EAJava_int,Cass Attendance Info
8,Class Date,EAJava_date,Cass Attendance Info
9,Semester,EAJava_string,Cass Attendance Info
10,Student Attendance,EAJava_int,Cass Attendance Info
11,Student ID,EAJava_int,Cass Attendance Info
12,Date,EAJava_date,Resource List with Status
13,Resource ID,EAJava_int,Resource List with Status
14,Resource Name,EAJava_char,Resource List with Status
15,Resource Status,EAJava_char,Resource List with Status
16,Resource Type,EAJava_char,Resource List with Status
17,Admin ID,EAJava_int,Administrator Info
18,passwd,EAJava_string,Administrator Info
19,User level,EAJava_int,Administrator Info
20,Address,EAJava_string,Parent Info
21,email address,EAJava_string,Parent Info
22,email message,EAJava_string,Parent Info
23,Gender,EAJava_char,Parent Info
24,Parent Cell Phone,EAJava_string,Parent Info
25,Parent Name,EAJava_string,Parent Info
26,passwd,EAJava_string,Parent Info
27,Student ID,EAJava_int,Parent Info
28,User Level,EAJava_int,Parent Info
29,Gender,EAJava_char,Student Info
30,Parent ID,EAJava_int,Student Info
31,passwd,EAJava_string,Student Info
32,School code,EAJava_string,Student Info
33,Student Address,EAJava_string,Student Info
34,Student ID,EAJava_int,Student Info
35,Student Name,EAJava_string,Student Info
36,User level,EAJava_int,Student Info
37,Gender,EAJava_char,Teacher Info
38,passwd,EAJava_char,Teacher Info
39,Teacher ID,EAJava_int,Teacher Info
40,Teacher name,EAJava_char,Teacher Info
41,User level,EAJava_char,Teacher Info
42,passwd,EAJava_char,Scheduler Info
43,ScheduleID,EAJava_int,Scheduler Info
44,User level,EAJava_char,Scheduler Info
45,Admin ID,EAJava_int,Admin Info
46,passwd,EAJava_char,Admin Info
47,User level,EAJava_char,Admin Info
48,Class bubble #,EAJava_int,Class Attendance Info
49,Class Date,EAJava_date,Class Attendance Info
50,semester,EAJava_char,Class Attendance Info
51,Student ID,EAJava_int,Class Attendance Info
52,Class bubble #,EAJava_int,Class Info
53,Class date,EAJava_date,Class Info
54,Class time,EAJava_date,Class Info
55,Teacher Name,EAJava_char,Class Info
56,Class bubble #,EAJava_int,ClassAttendance Report
57,Class Date,EAJava_date,ClassAttendance Report
58,semester,EAJava_char,ClassAttendance Report
59,Student ID,EAJava_int,ClassAttendance Report
60,Assignment Name,EAJava_string,ClassGrade Report
61,Class bubble #,EAJava_int,ClassGrade Report
62,Class Date,EAJava_date,ClassGrade Report
63,semester,EAJava_char,ClassGrade Report
64,Student Grade,EAJava_char,ClassGrade Report
65,Student ID,EAJava_int,ClassGrade Report
66,Date,EAJava_date,Error Report
67,Error Type,EAJava_char,Error Report
68,Request Query,EAJava_char,Error Report
69,Time,EAJava_date,Error Report
70,User ID,EAJava_int,Error Report
71,Assignment Name,EAJava_string,Grade / Attendance Report For Student / Parent
72,Class bubble #,EAJava_int,Grade / Attendance Report For Student / Parent
73,Class date,EAJava_date,Grade / Attendance Report For Student / Parent
74,Letter Grade (every 5 weeks),EAJava_char,Grade / Attendance Report For Student / Parent
75,Student Attendance,EAJava_int,Grade / Attendance Report For Student / Parent
76,Student Grade,EAJava_char,Grade / Attendance Report For Student / Parent
77,Student ID,EAJava_int,Grade / Attendance Report For Student / Parent
78,Student Name,EAJava_char,Grade / Attendance Report For Student / Parent
79,Class Bubble #,EAJava_int,Notification log-histories
80,Date,EAJava_date,Notification log-histories
81,Parent Cell Phone,EAJava_string,Notification log-histories
82,Parent Name,EAJava_string,Notification log-histories
83,Student Attendance,EAJava_int,Notification log-histories
84,Student Grade,EAJava_char,Notification log-histories
85,Student ID,EAJava_int,Notification log-histories
86,Student Name,EAJava_string,Notification log-histories
87,teacher ID,EAJava_int,Notification log-histories
88,Class Bubble #,EAJava_int,Notification message
89,Class Date,EAJava_date,Notification message
90,Parent Cell Phone,EAJava_string,Notification message
91,Student Attendance,EAJava_int,Notification message
92,Student Grade,EAJava_char,Notification message
93,Student ID,EAJava_int,Notification message
94,Student Name,EAJava_string,Notification message
95,teacher ID,EAJava_int,Notification message
96,Gender,EAJava_char,Studentt Info
97,Parent ID,EAJava_int,Studentt Info
98,passwd,EAJava_char,Studentt Info
99,School code,EAJava_int,Studentt Info
100,Student address,EAJava_char,Studentt Info
101,Student ID,EAJava_int,Studentt Info
102,Student Name,EAJava_char,Studentt Info
103,User Level,EAJava_int,Studentt Info
