id,attribute,type,element
1,Designation,EAJava_string,Admin profile
2,Name,EAJava_string,Admin profile
3,Password,EAJava_string,Admin profile
4,User Name,EAJava_string,Admin profile
5,Course Description,EAJava_string,Courses
6,Course Name,EAJava_string,Courses
7,Course Type,EAJava_string,Courses
8,Lessons in each course,EAJava_int,Courses
9,Level Course,EAJava_string,Courses
10,Email address,EAJava_string,Customer Profile
11,Fax,EAJava_string,Customer Profile
12,Location,EAJava_string,Customer Profile
13,Name,EAJava_string,Customer Profile
14,Password,EAJava_string,Customer Profile
15,Phone Number,EAJava_string,Customer Profile
16,User Name,EAJava_string,Customer Profile
17,End date of each Lesson,EAJava_int,Lessons
18,Lesson Name,EAJava_string,Lessons
19,Lesson Number,EAJava_int,Lessons
20,Scores for each lesson,EAJava_int,Lessons
21,Sectional lesson in each lesson,EAJava_int,Lessons
22,Start date of Lesson,EAJava_date,Lessons
23,Student Name,EAJava_string,Lessons
24,Test in each lesson,EAJava_int,Lessons
25,End date of each lesson,EAJava_date,Progress Report
26,Lesson Number,EAJava_int,Progress Report
27,Percentage aggregate fpr each Lesson,EAJava_int,Progress Report
28,Sectional score of each Lesson,EAJava_int,Progress Report
29,Start date of each Lesson,EAJava_date,Progress Report
30,Course Type,EAJava_string,Purchasing Option
31,Number of Licenses,EAJava_int,Purchasing Option
32,Address,EAJava_string,Student Profile 
33,Course type,EAJava_string,Student Profile 
34,Date of Birth,EAJava_date,Student Profile 
35,Gender,EAJava_char,Student Profile 
36,Name,EAJava_string,Student Profile 
37,Password,EAJava_string,Student Profile 
38,Phone Number,EAJava_string,Student Profile 
39,User Name,EAJava_string,Student Profile 
40,Text on how to add lessons,EAJava_int,Text tutorials
41,Video on how to add lessons,EAJava_int,Video Tutorial
