id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,$help://use_case_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,$help://actor.htm,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,System Boundary,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,Account,5,5,5,4,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,ActivityLogger,1,7,1,2,6,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,AdditionalInfo,3,13,3,4,4,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,Admin,1,3,1,2,3,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,Advertisement,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,Attachment,4,4,4,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,Comment,0,2,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,Company,10,6,10,5,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,CompanySearch,2,3,2,1,2,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
15,Connection,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
16,ConnectionUpdate,2,5,2,1,1,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
17,Courses,4,5,4,4,4,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
18,Email,1,10,1,4,4,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
19,Experience,6,7,6,4,4,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
20,FollowerSet,2,3,2,2,2,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
21,Group,0,6,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
22,HobbySet,2,4,2,4,4,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
23,Individual,13,5,13,5,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
24,IndividualSearch,2,3,2,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
25,Invitation,1,8,1,6,6,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
26,LinkedIn API,1,7,1,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
27,Member,5,1,5,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
28,Message,0,13,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
29,Notification,5,3,5,3,3,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
30,Post,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
31,Projects,4,6,4,4,4,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
32,Recommendation Letter,0,6,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
33,SearchEngine,3,8,3,4,8,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
34,SearchParameters,3,4,3,4,6,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
35,SearchResult,3,4,3,2,3,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
36,SearchResultEntity,2,4,2,3,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
37,SearchStrategy,2,1,2,1,2,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
38,Skill,2,4,2,4,4,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
39,Update,7,7,7,2,2,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
40,UserRecommender,2,6,2,3,5,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
41,User_Profile,0,3,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
42,refreshsocialfeed,0,1,0,1,0,0.3,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
