id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Invalid information,boundary,0,2,Signup,Signup,
2,Display error message,control,1,1,Signup,Signup,
3,User info already created,boundary,0,2,Signup,Signup,
4,select admin option,control,1,1,Signup,Signup,
5,Notification of unsuccessful registration,boundary,0,2,Signup,Signup,
6,notification of successful registration,boundary,0,2,Signup,Signup,
7,approve user registration,control,1,1,Signup,Signup,
8,Admin,actor,1,0,Signup,Signup,
9,View user registration info,boundary,1,2,Signup,Signup,
10,user info,entity,0,2,Signup,Signup,
11,save user info for admin,control,6,2,Signup,Signup,
12,sign up page,boundary,2,2,Signup,Signup,
13,open sign up page,control,1,1,Signup,Signup,
14,Login Page,boundary,1,1,Signup,Signup,
15,User,actor,6,0,Signup,Signup,
