id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Remove coupon,control,2,0,View stored coupons,View stored coupons - Android,
2,Show details,boundary,1,3,View stored coupons,View stored coupons - Android,
3,Coupons,entity,0,3,View stored coupons,View stored coupons - Android,
4,Redeem coupon,control,0,1,View stored coupons,View stored coupons - Android,
5,Dispute,entity,1,0,View stored coupons,View stored coupons - Android,
6,Verify coupon,control,2,1,View stored coupons,View stored coupons - Android,
7,Show coupons,boundary,1,2,View stored coupons,View stored coupons - Android,
8,Get coupons list,control,4,1,View stored coupons,View stored coupons - Android,
9,User,actor,1,0,View stored coupons,View stored coupons - Android,
10,Originating page,boundary,1,1,View stored coupons,View stored coupons - Android,
