id,operation,element
1,getCurrentlyDisplayed,com.rufuslabs.alltheapps.managers.ss
2,<init>,com.rufuslabs.alltheapps.managers.ss
3,store,com.rufuslabs.alltheapps.managers.ss
4,getPages,com.rufuslabs.alltheapps.managers.ss
5,toString,com.rufuslabs.alltheapps.managers.benns.ss
6,<init>,com.rufuslabs.alltheapps.managers.benns.ss
7,length,com.rufuslabs.alltheapps.managers.benns.ss
8,getAppLabel,com.rufuslabs.alltheapps.managers.benns.ss
9,getJSONObject,com.rufuslabs.alltheapps.managers.benns.ss
10,add,com.rufuslabs.alltheapps.managers.benns.ss
11,getString,com.rufuslabs.alltheapps.managers.benns.ss
12,setCls,com.rufuslabs.alltheapps.managers.benns.ss
13,put,com.rufuslabs.alltheapps.managers.benns.ss
14,getPkg,com.rufuslabs.alltheapps.managers.benns.ss
15,toJSONObject,com.rufuslabs.alltheapps.managers.benns.ss
16,get,com.rufuslabs.alltheapps.managers.benns.ss
17,remove,com.rufuslabs.alltheapps.managers.benns.ss
18,setAppInfo,com.rufuslabs.alltheapps.managers.benns.ss
19,reloadPages,com.rufuslabs.alltheapps.views.ss
20,initViews,com.rufuslabs.alltheapps.views.ss
21,<init>,com.rufuslabs.alltheapps.views.ss
22,setOnAppsPageLoadedListener,com.rufuslabs.alltheapps.views.ss
23,onAppsPageLoaded,com.rufuslabs.alltheapps.ss
24,setAppsPageAdapter,com.rufuslabs.alltheapps.views.pages.ss
25,<init>,com.rufuslabs.alltheapps.views.pages.ss
26,setViewHooverable,com.rufuslabs.alltheapps.hoover.ss
27,setViewGroupPropagatable,com.rufuslabs.alltheapps.hoover.ss
28,applyHooverListener,com.rufuslabs.alltheapps.hoover.ss
29,<init>,com.rufuslabs.alltheapps.views.swipeable.ss
30,addAppsPage,com.rufuslabs.alltheapps.views.swipeable.ss
31,setOnPageTurnListener,com.rufuslabs.alltheapps.views.swipeable.ss
32,setPageDisplayed,com.rufuslabs.alltheapps.views.swipeable.ss
