,1 Bins,Effort,,1,2,3,4,5,6,Effort,Effort,,,,,,,,
f14a_e_lock_box,2114.6041,1525,f14a_e_lock_box,2599.6373,2290.02931,2016.66802,1768.259389,1560.997336,1336.381462,1525,125,f14a_e_lock_box,2112.8156,2097.0276,2038.35347,1594.42201,1441.42615,1233.99483,1525
f14a_gotrla,588.0852,482,f14a_gotrla,722.9761,704.92997,638.90512,581.033095,548.744617,455.907955,482,482,f14a_gotrla,587.5878,591.0843,567.26569,458.75098,411.67532,340.92909,482
F14a_mobile_application_for_mobile_controlled_lighting,143.8932,57.5,F14a_mobile_application_for_mobile_controlled_lighting,176.8984,114.21411,59.7034,32.632968,19.705803,10.917008,57.5,257.5,F14a_mobile_application_for_mobile_controlled_lighting,143.7715,136.685,117.45331,78.26174,68.91792,49.57378,57.5
F14a_REFERsy,294.0426,63,F14a_REFERsy,361.488,203.4718,100.88459,42.255605,24.325659,13.505422,63,263,F14a_REFERsy,293.7939,247.6773,175.02181,85.04049,58.39108,39.14334,63
F14a_sharethetraining_com,494.2418,571,F14a_sharethetraining_com,607.6075,485.10328,316.57257,236.797115,198.294775,151.931995,571,571,F14a_sharethetraining_com,493.8238,444.994,341.9109,208.69859,166.82271,125.52462,571
F14a_snapp_voice_communication_system,325.3237,103,F14a_snapp_voice_communication_system,399.9442,228.08508,120.94095,75.474705,59.937727,46.739336,103,103,F14a_snapp_voice_communication_system,325.0486,286.2974,217.15887,149.18199,131.92462,115.6357,103
F14a_soccer_data_web_crawler,243.9928,268.5,F14a_soccer_data_web_crawler,299.9582,287.26066,158.60565,117.795156,98.507009,59.059214,268.5,268.5,F14a_soccer_data_web_crawler,243.7864,254.6233,268.72147,250.85101,262.29845,227.48286,268.5
F14a_tipsure_com,481.7293,266,F14a_tipsure_com,592.2251,507.39725,315.73207,238.08773,163.208262,119.655717,266,266,F14a_tipsure_com,481.3219,508.8053,525.03211,474.13104,465.26938,403.69079,266
F14a_women_at_work_website_redesign,212.7117,140.5,F14a_women_at_work_website_redesign,261.502,209.89749,184.7782,166.555327,132.468744,107.728628,140.5,140.5,F14a_women_at_work_website_redesign,212.5318,215.1806,203.73655,160.34012,145.52451,120.19624,140.5
F15a_combat_conflict,193.943,181,F15a_combat_conflict,238.4283,144.23627,60.70024,30.460961,16.88502,7.108099,181,1281,F15a_combat_conflict,193.7789,178.8377,140.38206,79.06406,57.94264,37.36331,181
f15a_CombatConflict,200.1992,169,f15a_CombatConflict,246.1195,172.77368,86.1234,51.013768,28.617841,15.372064,169,1669,f15a_CombatConflict,200.0299,190.6402,156.15953,113.15496,84.50126,56.19379,169
F15a_construction_meeting_minutes_application,844.5904,482.5,F15a_construction_meeting_minutes_application,1038.3167,739.88735,449.90731,298.464395,211.817249,124.753554,482.5,1482.5,F15a_construction_meeting_minutes_application,843.8761,846.1058,755.70882,543.67248,470.84008,343.17545,482.5
