Project,Effort
F14a_REFERsy.csv,263
F14a_soccer_data_web_crawler.csv,268.5
s16_bad_driver.csv,1392
S16b_flower_seeker.csv,804.5
s16b_Picshare_AA.csv,3113
s16b_Picshare_RA.csv,1592
f14a_cash_doctor.csv,724
F14a_snapp_voice_communication_system.csv,103
F15a_nice_ecommerse.csv,617
f14a_gotrla.csv,482
F14a_women_at_work_website_redesign.csv,140.5
S15b_mission_science_irobots.csv,759
f14a_e_lock_box.csv,125
F15a_tour_conductor.csv,1347
F14a_mobile_application_for_mobile_controlled_lighting.csv,257.5
F15a_combat_conflict.csv,1281
F14a_sharethetraining_com.csv,571
F15a_construction_meeting_minutes_application.csv,1482.5
S15b_we_are_trojans_network.csv,1965
F14a_black_professionals_net.csv,146.5
F14a_tipsure_com.csv,266
s15b_snap_valet.csv,302.5
F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications.csv,1328
F13a_LA_Commons_upgradeof_website.csv,1193
F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement.csv,432
F13a_OnlineWedding_Management_System.csv,8224.72
F13a_Surgery_Assist.csv,1092.88
F13a_Yanomamo Interactive CDROM.csv,384.56
S14b_E-LockBox.csv,125
F13a_Spherical_Modeling_Tool.csv,1741.92
F13a_MedFRS_Device_Diagnostic_Software.csv,1506.32
S14b_Healthy_Kids_Zone_SurveyApp.csv,950
S14b_JEP_Online_Platform.csv,1295.04
S14b_Lose4Good_org_Database_Driven_Socially_Connected_Website.csv,1810.32
S14b_Student_Scheduling_System.csv,1393.84
