id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,List of pictures,boundary,0,2,Search Pictures,Search Pictures,
2,Filter Pictures,control,1,1,Search Pictures,Search Pictures,
3,Image Filter Box,boundary,1,2,Search Pictures,Search Pictures,
4,Picture,entity,0,1,Search Pictures,Search Pictures,
5,retrive the list of picture,control,2,1,Search Pictures,Search Pictures,
6,Query Picture List,boundary,1,1,Search Pictures,Search Pictures,
7,User,actor,3,0,Search Pictures,Search Pictures,
