id,element,useCase,type,component
1,Email protocol:check email sent status,Invite frieds through email,boundary,Attachment
2,Send an invitation email:Email protocol,Invite frieds through email,boundary,Email
3,User:information input invalid message,Invite frieds through email,boundary,AdditionalInfo
4,User:Invitation paage,Invite frieds through email,entity,Invitation
5,User:invite friend form,Invite frieds through email,entity,Invitation
6,User:fried already exist message,Invite frieds through email,control,Message
7,User:email already exists,Invite frieds through email,boundary,Email
8,Check if email already exists:Invitation paage,Invite frieds through email,entity,Invitation
9,Check if email already exists:Send an invitation email,Invite frieds through email,entity,Invitation
10,Check if email already exists:invitation,Invite frieds through email,entity,Invitation
11,Check if email already exists:email already exists,Invite frieds through email,boundary,Email
12,Check if friend already exists:Check if email already exists,Invite frieds through email,boundary,Email
13,Check if friend already exists:friend,Invite frieds through email,entity,Experience
14,Check if friend already exists:fried already exist message,Invite frieds through email,control,Message
15,Check if input is valid:Check if friend already exists,Invite frieds through email,entity,Experience
16,Check if input is valid:information input invalid message,Invite frieds through email,boundary,AdditionalInfo
17,invite friend form:Check if input is valid,Invite frieds through email,control,IndividualSearch
18,show invitation page:Invitation paage,Invite frieds through email,entity,Invitation
19,cancel selections:invite friend form,Invite frieds through email,entity,Invitation
20,information input invalid message:cancel selections,Invite frieds through email,boundary,Connection
21,check email sent status:show invitation page,Invite frieds through email,entity,Invitation
22,check email sent status:invitation,Invite frieds through email,entity,Invitation
23,stl#Email protocol:check email sent status,Invite frieds through email,Stimulus,undefined
24,stl#User:information input invalid message,Invite frieds through email,Stimulus,undefined
25,stl#User:Invitation paage,Invite frieds through email,Stimulus,undefined
26,stl#User:invite friend form,Invite frieds through email,Stimulus,undefined
27,stl#User:fried already exist message,Invite frieds through email,Stimulus,undefined
28,stl#User:email already exists,Invite frieds through email,Stimulus,undefined
