id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->login page->pre-check if input is empty->query authentication info->user info,EI,CTRL|DM|EI,5,undefined,2,1,1,Login,Login
2,User->login page->pre-check if input is empty->invalid input error message,EQ,CTRL|INT,4,undefined,1,0,1,Login,Login
3,User->login page->pre-check if input is empty->error message for empty input,EQ,CTRL|INT,4,undefined,1,0,1,Login,Login
