id,element,useCase,type,component
1,administrator:question category page,loads an existing survey from the model device,boundary,Question Category Screen
2,administrator:load survey button,loads an existing survey from the model device,boundary,SurveyDeploymentPage
3,administrator:no saved survey found message,loads an existing survey from the model device,control,Survey Management
4,load and continue a survey fro record:tempoarary file,loads an existing survey from the model device,entity,System Boundary
5,load and continue a survey fro record:question category page,loads an existing survey from the model device,boundary,Question Category Screen
6,load and continue a survey fro record:no saved survey found message,loads an existing survey from the model device,control,Survey Management
7,load survey button:load and continue a survey fro record,loads an existing survey from the model device,control,Survey Management
8,stl#administrator:question category page,loads an existing survey from the model device,Stimulus,undefined
9,stl#administrator:load survey button,loads an existing survey from the model device,Stimulus,undefined
10,stl#administrator:no saved survey found message,loads an existing survey from the model device,Stimulus,undefined
