id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,system error when saving registration information,boundary,0,2,Register as Valet Company,Register as Valet Company,
2,duplicate registration information,boundary,0,2,Register as Valet Company,Register as Valet Company,
3,successfully save registration information,boundary,1,2,Register as Valet Company,Register as Valet Company,
4,save valet information,control,4,1,Register as Valet Company,Register as Valet Company,
5,validate registration information,control,5,1,Register as Valet Company,Register as Valet Company,
6,registration page,boundary,1,2,Register as Valet Company,Register as Valet Company,
7,displays registration page,control,1,1,Register as Valet Company,Register as Valet Company,
8,registration information invalid message,boundary,0,2,Register as Valet Company,Register as Valet Company,
9,display spinner while saving information,boundary,0,2,Register as Valet Company,Register as Valet Company,
10,employee,entity,0,2,Register as Valet Company,Register as Valet Company,
11,register button,boundary,1,1,Register as Valet Company,Register as Valet Company,
12,Valet company representative,actor,9,0,Register as Valet Company,Register as Valet Company,
