Project_No,Project_Name,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,EF,UCP,Real_P20,Real_Effort_Person_Hours,Use_Case_Num,Sector,KSLOC,Language,Methodology,Application_Type,DataDonator
1,Other,1,1,2,9,6,10,15,355,364,0.81,0.84,247.6656,398.5,7970,31,Manufacturing,1,Java,Other,Other,D1
2,Other,1,2,1,8,4,20,15,445,453,0.99,0.99,443.9853,398.1,7962,39,Other,1,Other,Other,Other,D1
3,Other,0,0,3,9,1,5,20,355,364,1.03,0.8,299.936,396.75,7935,26,Banking,1,C#,Other,Business Application,D1
4,Other,0,1,2,8,5,10,15,350,358,0.9,0.91,293.202,390.25,7805,30,Communication,1,C++,Other,Real-Time application,D1
5,Other,1,2,1,8,1,10,16,345,353,0.9,0.91,289.107,387.9,7758,27,Manufacturing,1,Other,Waterfall,Real-Time Application,D1
6,Other,2,0,2,8,1,13,14,345,353,0.99,0.99,345.9753,382.15,7643,28,Insurance,1,Java,Personal Software Process (PSP),Business Application,D1
7,Other,0,2,1,7,3,18,15,420,427,0.94,1.02,409.4076,376.6,7532,36,Communication,1,Java,Rapid Application Development,Business Application,D1
8,Other,0,1,2,8,0,16,12,340,348,1.03,0.8,286.752,372.55,7451,28,Wholesale & Retail,1,C,Other,Business Application,D1
9,Other,0,1,2,8,2,10,15,335,343,0.94,1.02,328.8684,372.45,7449,27,Banking,1,C#,Other,Business Application,D1
10,Other,4,0,1,7,4,14,17,415,422,1,0.98,423.899,371.35,7427,35,Other,1,Java,Other,Other,D1
11,Other,1,2,1,8,5,16,10,335,343,0.92,0.78,246.1368,370.3,7406,31,Service Industry,1,C#,Other,Business Application,D1
12,Other,0,1,2,8,1,10,15,330,338,0.85,0.89,255.697,368.25,7365,26,Communication,1,CSP,Other,Business Application,D1
13,Other,1,0,2,7,9,8,19,410,417,0.75,0.81,253.3275,367.5,7350,36,Professional Services,1,C#,Other,Business Application,D1
14,Other,1,0,2,7,5,8,20,405,412,1.02,1,455.9604,365.15,7303,33,Electronics & Computers,1,C#,Unified Process and its variants,Business Application,D1
15,Other,0,1,2,8,2,15,11,325,333,1,0.95,346.40325,362.6,7252,28,Other,1,C++,Other,Other,D1
16,Other,0,1,2,8,1,8,16,325,333,0.92,0.78,238.9608,362.25,7245,25,Insurance,1,C#,Waterfall,Other,D1
17,Other,0,2,1,7,2,15,16,400,407,0.75,0.81,247.2525,358.3,7166,33,Banking,1,.Net,Other,Business Application,D1
18,Other,2,1,1,7,5,11,17,390,397,0.965,0.755,289.244275,355.95,7119,33,Government,1,C#,Other,Mathematically-Intensive Application,D1
19,Other,0,1,2,8,3,9,14,315,323,0.92,0.78,231.7848,355.55,7111,26,Communication,1,C++,Other,Mathematically-Intensive Application,D1
20,Other,4,2,0,8,2,14,11,315,323,1.05,0.95,322.1925,352.2,7044,27,Medical & Health Care,1,Other,Other,Other,D1
21,Other,1,0,2,7,5,14,15,390,397,0.71,0.73,205.7651,352,7040,34,Government,1,Java,Other,Business Application,D1
22,Other,2,1,1,7,3,23,10,395,402,1.02,1,444.8934,351.4,7028,36,Insurance,1,C#,Waterfall,Business Application,D1
23,Other,0,1,2,8,1,16,10,315,323,1.03,0.8,266.152,347.1,6942,27,Other,1,XML,Other,Business Application,D1
24,Other,1,0,2,7,1,15,10,305,312,0.965,0.755,227.3154,340.7,6814,26,Communication,1,Other,Waterfall,Mathematically-Intensive Application,D1
25,Other,0,0,3,9,2,19,12,380,389,0.78,0.79,239.7018,340.45,6809,33,Service Industry,1,C#,Other,Business Application,D1
26,Other,0,1,2,8,2,20,11,375,383,0.98,0.97,364.0798,340.1,6802,33,Electronics & Computers,1,C#,Waterfall,Other,D1
27,Other,1,1,3,12,0,14,11,305,317,0.78,0.51,126.1026,339.35,6787,25,Medical & Health Care,1,Other,Other,Other,D1
28,Other,1,0,2,7,1,9,14,305,312,1.08,0.77,259.4592,338.2,6764,24,Service Industry,1,Other,Other,Other,D1
29,Other,0,2,1,7,4,15,14,380,387,1.05,0.95,386.0325,338.05,6761,33,Manufacturing,1,SQL,Other,Business Application,D2
30,Other,0,2,1,7,0,15,10,300,307,0.85,0.89,232.2455,336.25,6725,25,Manufacturing,1,Other,Waterfall,Real-Time Application,D2
31,Other,1,0,2,7,1,16,9,300,307,1.02,1,339.7569,334.5,6690,26,Medical & Health Care,1,Other,Other,Other,D2
32,Other,0,2,1,7,0,18,8,300,307,1.08,0.77,255.3012,330,6600,26,Government,1,Oracle,Multifunctional Teams,Business Application,D2
33,Other,2,1,1,7,0,17,8,290,297,0.94,1.02,284.7636,323.7,6474,25,Government,1,Visual Basic,Other,Other,D2
34,Other,0,0,2,6,0,13,15,355,361,0.95,0.92,315.514,321.65,6433,28,Government,1,C#,Other,Infrastructure Software,D2
35,Other,1,0,2,7,1,13,10,285,292,0.78,0.79,179.9304,320.8,6416,24,Insurance,1,C#,Other,Business Application,D2
36,Other,0,1,2,8,0,14,10,290,298,0.94,1.02,285.7224,320.6,6412,24,Electronics & Computers,1,C#,Incremental,Other,D2
37,Other,0,0,2,6,4,20,9,355,361,0.9,0.94,305.406,320,6400,33,Manufacturing,1,Visual Basic,Waterfall,Business Application,D2
38,Other,1,0,2,7,1,10,12,285,292,0.71,0.73,151.3436,318,6360,23,Insurance,1,C#,Other,Other,D2
39,Other,0,0,2,6,0,13,15,355,361,0.9,0.91,295.659,316.85,6337,28,Wholesale & Retail,1,Visual Basic,Other,Other,D2
40,Other,2,2,4,18,1,20,27,610,628,0.72,0.67,302.9472,312,6240,48,Insurance,1,Other,Other,Business Application,D2
41,Other,1,0,2,7,1,11,11,280,287,0.78,0.51,114.1686,311.6,6232,23,Government,1,C#,Other,Business Application,D2
42,Other,1,0,2,7,1,14,9,280,287,1.03,0.8,236.488,308.65,6173,24,Wholesale & Retail,1,DELPHI,Rapid Application Development (RAD),Business Application,D2
43,Other,0,0,2,6,0,12,15,345,351,1,0.92,322.92,308,6160,27,Insurance,1,Visual Basic,Waterfall,Business Application,D2
44,Other,0,0,2,6,2,15,12,340,346,1,0.95,359.9265,305.85,6117,29,Banking,1,C#,Other,Business Application,D2
45,Other,2,1,1,7,2,13,9,275,282,0.75,0.81,171.315,303.1,6062,24,Insurance,1,Visual Basic,Waterfall,Business Application,D2
46,Other,0,2,5,19,1,27,15,500,519,1.03,0.8,427.656,302.55,6051,43,Service Industry,1,C#,Other,Business Application,D2
47,Other,1,1,5,18,3,26,15,500,518,0.72,0.67,249.8832,302.4,6048,44,Banking,1,ASP,Other,Business Application,D2
48,Other,0,3,4,18,2,19,20,500,518,0.85,0.89,391.867,301.75,6035,41,Service Industry,1,Other,Other,Business Application,D2
49,Other,0,0,2,6,1,19,5,270,276,0.965,0.755,201.0867,301.2,6024,25,Banking,1,C#,Other,Other,D2
50,Other,0,0,6,18,20,25,9,485,503,0.85,0.88,376.244,301.15,6023,54,Service Industry,1,PowerBuilder,Other,Business Application,D2
51,Other,2,2,4,18,5,25,20,575,593,1,0.995,659.65913,299.65,5993,50,Insurance,1,C#,Waterfall,Other,D2
52,Other,1,1,5,18,4,16,21,495,513,0.85,0.88,383.724,299.25,5985,41,Government,1,C#,Other,Business Application,D3
53,Other,0,3,4,18,5,21,17,490,508,0.75,0.81,308.61,298.55,5971,43,Government,1,C#,Other,Business Application,D3
54,Other,1,1,5,18,5,21,17,490,508,0.81,0.84,345.6432,298.1,5962,43,Banking,1,Java,Other,Business Application,D3
55,Other,1,1,5,18,6,16,20,490,508,0.85,0.89,384.302,297.2,5944,42,Medical & Health Care,1,Other,Other,Other,D3
56,Other,0,1,5,17,5,25,20,575,592,0.85,0.88,442.816,297,5940,50,Insurance,1,Other,Waterfall,Other,D3
57,Other,0,0,2,6,0,14,8,260,266,0.98,0.97,252.8596,296.35,5927,22,Other,1,C#,Other,Business Application,D3
58,Other,0,1,5,17,3,18,19,480,497,0.85,0.89,375.9805,294.25,5885,40,Professional Services,1,Java,Waterfall,Business Application,D3
59,Other,1,1,5,18,5,16,20,485,503,1.08,0.77,418.2948,294.1,5882,41,Manufacturing,1,Java,Other,Business Application,D3
60,Other,0,0,2,6,1,14,12,325,331,0.72,0.67,159.6744,294,5880,27,Other,1,Other,Other,Other,D3
61,Other,2,2,4,18,3,26,14,485,503,0.82,0.79,325.8434,294,5880,43,Other,1,C#,Other,Business Application,D3
62,Other,1,1,1,6,1,10,15,330,336,0.96,0.96,309.6576,293.8,5876,26,Communication,1,C++,Other,Business Application,D3
63,Other,0,0,2,6,0,3,20,330,336,0.85,0.89,254.184,293.65,5873,23,Service Industry,1,C#,Multifunctional Teams,Business Application,D3
64,Other,1,1,5,18,3,17,20,485,503,1,0.95,523.24575,293.25,5865,40,Medical & Health Care,1,Other,Other,Other,D3
65,Other,0,0,6,18,2,17,20,480,498,0.965,0.755,362.83035,293.15,5863,39,Other,1,Visual Basic,Other,Other,D3
66,Other,1,1,5,18,3,21,17,480,498,0.98,0.97,473.3988,292.8,5856,41,Communication,1,Other,Waterfall,Mathematically-Intensive Application,D3
67,Other,0,3,4,18,2,18,18,460,478,1.05,0.95,476.805,290,5800,38,Government,1,SQL,Other,Business Application,D3
68,Other,1,2,4,17,1,23,22,565,582,1.03,0.8,479.568,289.55,5791,46,Banking,1,C,Other,Real-Time Application,D3
69,Other,0,2,5,19,5,30,10,475,494,0.95,0.92,431.756,289.1,5782,45,Medical & Health Care,1,C#,Other,Business Application,D3
70,Other,0,0,2,6,5,15,5,250,256,1,0.92,235.52,288.9,5778,25,Insurance,1,C#,Waterfall,Business Application,D3
71,Other,2,2,4,18,5,18,17,460,478,0.85,0.89,361.607,288.75,5775,40,Insurance,1,Java,Waterfall,Business Application,D3
6,F14a_black_professionals_net,1,2,1,8,8,3,1,85,93,0.9,1.03,86.211,1,146,18,Other,1.5,Other,Other,Mobile App,Other
12,f14a_cash_doctor,1,2,2,11,1,2,7,130,141,0.9,1.025,130.0725,1,724,10,Other,7.593,Other,Other,Web App,Other
8,f14a_e_lock_box,4,2,1,11,3,9,3,150,161,0.8,1.23,158.424,1,1125,21,Other,3.679,Other,Other,Web App,Other
15,f14a_gotrla,2,2,1,9,1,6,4,125,134,0.835,0.995,111.33055,1,482,10,Other,0.73,Other,Other,Web App,Other
13,F14a_mobile_application_for_mobile_controlled_lighting,1,2,1,8,2,17,2,210,218,0.925,1.04,209.716,1,657.5,5,Other,3.2,Other,Other,Web App,Other
10,F14a_REFERsy,3,3,1,12,6,3,2,90,102,0.925,0.995,93.87825,1,263,10,Other,2.258,Other,Other,Web App,Other
11,F14a_sharethetraining_com,3,0,2,9,5,8,3,150,159,0.88,1.04,145.5168,1,571,13,Other,6.415,Other,Other,Web App,Other
5,F14a_snapp_voice_communication_system,2,2,2,12,33,2,1,200,212,0.96,1.03,209.6256,1,547,45,Other,6.569,Other,Other,Mobile App,Other
19,F14a_soccer_data_Web_crawler,2,2,3,15,6,3,1,75,90,0.915,1.025,84.40875,1,268.5,8,Other,2.95,Other,Other,Mobile App,Other
2,F14a_tipsure_com,2,2,0,6,2,5,4,120,126,0.855,1.025,110.42325,1,746,8,Other,7.25,Other,Other,Web App,Other
9,F14a_women_at_work_Website_redesign,2,1,3,13,4,3,1,65,78,0.855,1.025,68.35725,1,140.5,8,Other,0.552,Other,Other,Mobile App,Other
4,F15a_combat_conflict,3,0,1,6,4,3,4,110,116,0.795,0.92,84.8424,1,1281,7,Other,8.116,Other,Other,Web App,Other
6,F15a_construction_meeting_minutes_application,1,1,1,6,4,21,1,245,251,0.925,0.95,220.56625,1,1482.5,18,Other,7.365,Other,Other,Web App,Other
3,F15a_linggo,2,2,0,6,12,5,6,200,206,1.04,1.12,239.9488,1,1142,26,Other,1.386,Other,Other,Mobile App,Other
7,F15a_nice_ecommerse,1,3,3,16,16,6,2,170,186,0.805,1.025,153.47325,1,617,24,Other,4.71,Other,Other,Mobile&Web App,Other
5,F15a_tour_conductor,2,2,1,9,5,2,13,240,249,0.885,0.89,196.12485,1,1347,8,Other,8.209,Other,Other,Mobile&Web App,Other
1,s14b_location_based_ad,3,2,2,13,2,9,27,505,518,1.12,1.325,768.712,1,3680,47,Other,5.129,Other,Other,Web App,Other
7,S15b_mission_science_irobots,2,2,9,33,8,1,4,110,143,1.14,1.15,187.473,1,759,13,Other,8.059,Other,Other,Mobile&Web App,Other
3,s15b_snap_valet,1,2,2,11,4,3,5,125,136,0.925,0.965,121.397,1,302.5,11,Other,3.12,Other,Other,Mobile Game,Other
1,S15b_we_are_trojans_network,3,0,2,9,2,5,16,300,309,0.935,0.935,270.135525,1,1965,9,Other,21.344,Other,Other,Mobile&Web App,Other
3,s16_bad_driver,2,4,2,16,11,9,4,205,221,1.135,1.25,313.54375,1,1392,12,Other,3.4,Other,Other,Mobile&Web App,Other
4,S16b_flower_seeker,3,2,1,10,13,3,2,125,135,0.89,1.025,123.15375,1,804.5,16,Other,2.3,Other,Other,Mobile&Web App,Other
2,s16b_Picshare_AA,2,2,0,6,15,13,3,250,256,0.94,0.875,210.56,1,1592,24,Other,2.1,Other,Other,Mobile&Web App,Other
1,s16b_Picshare_RA,1,2,1,8,6,7,16,340,348,0.94,0.89,291.1368,1,3113,24,Other,2.1,Other,Other,Mobile Game,Other
4,s17_tikiman_go,1,1,0,3,4,15,1,185,188,1.175,1.31,289.379,1,737,28,Other,1.4,Other,Other,Mobile&Web App,Other
33,"CC C++, Java",0,1,0,2,1,1,0,15,17,1.25,0.995,21.14375,1,194.2,2,Other,0.272961,Other,Other,Data Analysis,Other
34,"CC C#, Perl, VB",0,1,0,2,3,0,0,15,17,1.25,1.025,21.78125,1,252.1,3,Other,0.2481596,Other,Other,Data Analysis,Other
35,"CC Ada, Fortran",0,1,0,2,2,0,0,10,12,1.25,1.025,15.375,1,230.75,2,Other,0.1814433,Other,Other,Data Analysis,Other
36,"CC Bash, CFScript",0,1,0,2,2,0,0,10,12,1.25,1.01,15.15,1,223,2,Other,0.206829,Other,Other,Data Analysis,Other
37,"CC PHP, DOS",0,1,0,2,2,0,0,10,12,1.25,1.025,15.375,1,333.4,2,Other,0.361715,Other,Other,Data Analysis,Other
38,"CC Ruby, Matlab",0,1,0,2,2,0,0,10,12,1.25,1.025,15.375,1,277.5,2,Other,0.349066,Other,Other,Data Analysis,Other
39,"CC Pascal, Python",0,1,0,2,2,0,0,10,12,1.25,1.01,15.15,1,217.65,2,Other,0.440172,Other,Other,Data Analysis,Other
40,"CC Verilog, VHDL",0,1,0,2,2,0,0,10,12,1.25,1.01,15.15,1,401.5,2,Other,0.535814,Other,Other,Data Analysis,Other
41,Matlab - CC,0,1,0,2,4,12,3,185,187,1.25,1.025,239.59375,1,1510.08,1,Other,2.128,Other,Other,Data Analysis,Other
42,DOS - CC,0,1,0,2,12,2,1,95,97,1.25,1.025,124.28125,1,581.87,1,Other,0.396,Other,Other,Data Analysis,Other
43,Assembly,0,1,0,2,3,12,5,210,212,1.25,1.025,271.625,1,1560.533333,3,Other,0.691753,Other,Other,Data Analysis,Other
44,CC all,0,1,0,2,18,5,6,230,232,1.25,1.01375,293.9875,1,3484,19,Other,3.4767449,Other,Other,Data Analysis,Other
45,GUI all,0,1,1,5,4,22,3,285,290,1,1.0175,295.075,1,1561.3833,2,Other,1.957667,Other,Other,Data Analysis,Other
46,Convert,0,1,0,2,3,3,1,60,62,1.85,1.0025,114.98675,1,784.4,2,Other,1.047,Other,Other,Data Analysis,Other
47,Language Parsers - CC,0,1,0,2,12,14,28,620,622,1.25,1.030625,801.3109375,1,8094.343033,10,Other,4.78005,Other,Other,Data Analysis,Other
48,Add Features,0,1,1,5,11,7,8,245,250,1.39,1.013,352.0175,1,2810.95,5,Other,5.173837,Other,Other,Data Analysis,Other
