id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Homepage-->User:Homepage,Edit settings,CTRL;EXTCLL;INT,2,0,2,1,4
2,stl#User:Edit setting page-->User:Edit setting page-->Edit setting page:Edit settings-->Edit settings:Show confirmation-->Show confirmation:Homepage,Edit settings,CTRL;EXTCLL;INT,5,0,1.75,4,8.75
