id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,No user exist error message,boundary,0,2,Write recommendation letter,Write recommendation letter,
2,Display no user exist,control,1,1,Write recommendation letter,Write recommendation letter,
3,Profile Page,boundary,0,2,Write recommendation letter,Write recommendation letter,
4,Send message,control,2,1,Write recommendation letter,Write recommendation letter,
5,Message,entity,0,1,Write recommendation letter,Write recommendation letter,
6,Recommendation,entity,0,1,Write recommendation letter,Write recommendation letter,
7,Validate input recommendation information,control,1,2,Write recommendation letter,Write recommendation letter,
8,Recommendation letter page,boundary,1,2,Write recommendation letter,Write recommendation letter,
9,Save recommendation record,control,3,2,Write recommendation letter,Write recommendation letter,
10,Redirect to recommendation letter edit page,control,2,1,Write recommendation letter,Write recommendation letter,
11,Send recommendation letter button,boundary,1,1,Write recommendation letter,Write recommendation letter,
12,User,actor,4,0,Write recommendation letter,Write recommendation letter,
