id,element,useCase,type,outboundDegree,inboundDegree
1,Traveler:Manage trip plan screen,View Trip Plan on Map and get Directions,0,undefined,undefined
2,Display:View trip plan on map screen,View Trip Plan on Map and get Directions,0,undefined,undefined
3,trip plan controller:Display,View Trip Plan on Map and get Directions,0,undefined,undefined
4,fetch map:Display details of scheduled visit,View Trip Plan on Map and get Directions,0,undefined,undefined
5,Manage trip plan screen:trip plan controller,View Trip Plan on Map and get Directions,0,undefined,undefined
6,fetch map:Map,View Trip Plan on Map and get Directions,0,undefined,undefined
7,Pinch on map:Map,View Trip Plan on Map and get Directions,0,undefined,undefined
8,pan on map:Map,View Trip Plan on Map and get Directions,0,undefined,undefined
9,View trip plan on map screen:Pinch on map,View Trip Plan on Map and get Directions,0,undefined,undefined
10,fetch place:Place,View Trip Plan on Map and get Directions,0,undefined,undefined
11,View trip plan on map screen:pan on map,View Trip Plan on Map and get Directions,0,undefined,undefined
12,View trip plan on map screen:get directions from current location,View Trip Plan on Map and get Directions,0,undefined,undefined
13,trip plan controller:fetch map,View Trip Plan on Map and get Directions,0,undefined,undefined
14,trip plan controller:fetch place,View Trip Plan on Map and get Directions,0,undefined,undefined
15,stl#Traveler:Manage trip plan screen,View Trip Plan on Map and get Directions,0,undefined,undefined
