id,operation,element
1,helpusecasediagramhtm,$help://usecasediagram.htm
2,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
3,helpactorhtm,$help://actor.htm
4,SystemBoundary,System Boundary
5,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
6,Course,Course
7,deletecoursebutton,Course
8,verifycourseinformation,Course
9,rate,Course Review Page
10,review,Course Review Page
11,Cancel,Course attendeee profile page
12,Modify,Course attendeee profile page
13,Save,Course attendeee profile page
14,Deleteconfirmationdialog,Course attendeee profile page
15,sendemailtoattendees,Course attendeee profile page
16,updaterole,Course attendeee profile page
17,Coursedetailpage,Course detail page
18,Courseprovidingrecords,Course providing records
19,Processcourseinformation,Course providing records
20,Cancel,Course request page
21,Submit,Course request page
22,courseinformationisnotvalidmessage,Course request page
23,Coursereviewrecords,Course review records
24,Search,Course search page
25,Searchcoursebykeywords,Course search page
26,Dashboardcoursemanagementpage,Dashboard course management page
27,savecourseinformationintodatabase,Dashboard course management page
28,modify,Dashboard order management page
29,show,Dashboard order management page
30,Invalidenteredinformation,Dashboard order management page
31,ApproveCourse,Dashboard process request page
32,DisapproveCourse,Dashboard process request page
33,deletesuccessmessage,Dashboard process request page
34,registrationsuccess,Dashboard process request page
35,show,Dashboard review management page
36,sort,Dashboard review management page
37,ApproveTrainers,Dashboard user management page
38,DisapproveTrainers,Dashboard user management page
39,back,Login Page
40,login,Login Page
41,Loginsuccessinformation,Login Page
42,Logininvalidmessage,Login Page
43,Logoutbutton,Login Page
44,Redirecttologinpage,Login Page
45,Orderrecords,Order records
46,show,Order records page
47,sort,Order records page
48,redirecttohomepage,Order records page
49,confirm,Payment page
50,homepage,Payment page
51,Paymentpage,Payment page
52,receivepaymentresult,Payment page
53,EventBrite,Payment page
54,Sharecourserecords,Share course records
55,Sharemenu,Share course records
56,cancel,Sign up course attendee page
57,submit,Sign up course attendee page
58,Coursinformationupdatesuccessmessage,Sign up course attendee page
59,sendcourseinformationtousers,Sign up course attendee page
60,cancel,Sign up trainer page
61,submit,Sign up trainer page
62,Savesignupinformation,Sign up trainer page
63,Signuppage,Sign up trainer page
64,Cancel,Trainer profile page
65,Modify,Trainer profile page
66,Save,Trainer profile page
67,Emailprotocol,Trainer profile page
68,sendemailtotrianer,Trainer profile page
69,Cancel,Trainer schedule page
70,Modify,Trainer schedule page
71,Save,Trainer schedule page
72,Nomatchedresults,Trainer schedule page
73,scheduleupdatepage,Trainer schedule page
74,Invalidinputscheduleinfo,Trainer schedule page
75,loadschedulebutton,Trainer schedule page
76,User,User
77,savetheacceptanceinformation,savetheacceptanceinformation
78,courseinformationisnotvalidmessage,savetheacceptanceinformation
79,acceptance,savetheacceptanceinformation
