id,attribute,type,element
1,ID,EAJava_int,Course
2,Name,EAJava_char__,Course
3,Price,EAJava_int,Course
4,Type,EAJava_int,Course
5,undefined,EAID_5AE7E3A1_217B_4fa2_9B9E_89D754AED7C5,Course
6,undefined,EAID_85351E65_4C20_404c_BBF5_8AB39CE52DC4,Course
7,undefined,EAID_4E61C77D_3BB1_4a7b_81E1_3569BEBECAF5,Course
8,undefined,EAID_6D56194C_64B4_4918_911C_47A56AEC0A27,Course
9,review,EAJava_string,Course Review Page
10,Attended Course,EAJava_String,Course attendeee profile page
11,DOB,EAJava_Char__,Course attendeee profile page
12,Email,EAJava_String,Course attendeee profile page
13,FirstName,EAJava_String,Course attendeee profile page
14,LastName,EAJava_String,Course attendeee profile page
15,MiddelName,EAJava_String,Course attendeee profile page
16,Occupation,EAJava_String,Course attendeee profile page
17,Category,EAJava_char__,Course detail page
18,city,EAJava_char__,Course detail page
19,Course name,EAJava_String,Course detail page
20,End date,EAJava_int,Course detail page
21,Keypoints,EAJava_int,Course detail page
22,maplocations,EAJava_list,Course detail page
23,maximum attendees,EAJava_int,Course detail page
24,minimum attendees,EAJava_int,Course detail page
25,price,EAJava_int,Course detail page
26,Start date,EAJava_int,Course detail page
27,CourseID,EAJava_int,Course providing records
28,UserID,EAJava_int,Course providing records
29,Category,EAJava_String,Course request page
30,City,EAJava_String,Course request page
31,CourseName,EAJava_String,Course request page
32,EndDate,EAJava_String,Course request page
33,KeyPoints,EAJava_String,Course request page
34,MapLocation,EAJava_String,Course request page
35,MaximumAttendees,EAJava_int,Course request page
36,MinimumAttendees,EAJava_int,Course request page
37,Price,EAJava_float,Course request page
38,StartDate,EAJava_String,Course request page
39,Comments,EAJava_char__,Course review records
40,Course ID,EAJava_int,Course review records
41,User ID,EAJava_int,Course review records
42,Category,EAJava_String,Course search page
43,City,EAJava_String,Course search page
44,Keywords,EAJava_String,Course search page
45,Price,EAJava_Float,Course search page
46,CourseList,EAJava_int,Dashboard course management page
47,CreateCourse,EAJava_int,Dashboard course management page
48,DeleteCourse,EAJava_int,Dashboard course management page
49,ModifyCourse,EAJava_int,Dashboard course management page
50,OrderList,EAJava_int,Dashboard order management page
51,course request list,EAJava_int,Dashboard process request page
52,ReviewList,EAJava_int,Dashboard review management page
53,Administrators,EAJava_int,Dashboard user management page
54,CourseAttendees,EAJava_int,Dashboard user management page
55,Trainers,EAJava_int,Dashboard user management page
56,password,EAJava_string,Login Page
57,username,EAJava_string,Login Page
58,Course ID,EAJava_int,Order records
59,Date,EAJava_date,Order records
60,UserID,EAJava_int,Order records
61,OrderList,EAJava_int,Order records page
62,course name,EAJava_int,Payment page
63,price,EAJava_int,Payment page
64,Course ID,EAJava_int,Share course records
65,Friends,EAJava_char__,Share course records
66,Method,EAJava_char__,Share course records
67,User ID,EAJava_int,Share course records
68,DOB,EAJava_String,Sign up course attendee page
69,Email,EAJava_String,Sign up course attendee page
70,FirstName,EAJava_String,Sign up course attendee page
71,Last Name,EAJava_String,Sign up course attendee page
72,MiddelName,EAJava_String,Sign up course attendee page
73,Password,EAJava_String,Sign up course attendee page
74,DOB,EAJava_char__,Sign up trainer page
75,Email,EAJava_String,Sign up trainer page
76,First Name,EAJava_String,Sign up trainer page
77,Last Name,EAJava_String,Sign up trainer page
78,Middle Name,EAJava_String,Sign up trainer page
79,occupation,EAJava_String,Sign up trainer page
80,password,EAJava_String,Sign up trainer page
81,DOB,EAJava_int,Trainer profile page
82,Email,EAJava_String,Trainer profile page
83,First Name,EAJava_String,Trainer profile page
84,Last Name,EAJava_String,Trainer profile page
85,Middle Name,EAJava_String,Trainer profile page
86,Occupation,EAJava_String,Trainer profile page
87,Teached Courses,EAJava_String,Trainer profile page
88,Teaching Courses,EAJava_String,Trainer profile page
89,End Date,EAJava_String,Trainer schedule page
90,Is_occupated,EAJava_boolean,Trainer schedule page
91,OccupedThing,EAJava_String,Trainer schedule page
92,Start Date,EAJava_String,Trainer schedule page
93,ID,EAJava_int,User
94,Name,EAJava_char__,User
95,Type,EAJava_int,User
96,undefined,EAID_6D56194C_64B4_4918_911C_47A56AEC0A27,User
97,undefined,EAID_4E61C77D_3BB1_4a7b_81E1_3569BEBECAF5,User
98,undefined,EAID_85351E65_4C20_404c_BBF5_8AB39CE52DC4,User
99,undefined,EAID_5AE7E3A1_217B_4fa2_9B9E_89D754AED7C5,User
