id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Homepage-->User:Homepage,View Volunteer Application,CTRL;EXTCLL;INT,2,0,3,1,6
2,stl#User:View volunteer application  Page-->User:View volunteer application  Page-->View volunteer application  Page:Choose one of  volunteer application-->Choose one of  volunteer application:Show confirmation page-->Show confirmation page:View volunteer application  Page-->View volunteer application  Page:Choose one of  volunteer application,View Volunteer Application,TRAN_NA,6,0,3.8,5,22.799999999999997
3,stl#User:View volunteer application  Page-->User:View volunteer application  Page-->View volunteer application  Page:Choose one of  volunteer application-->Choose one of  volunteer application:Show confirmation page-->Show confirmation page:Homepage,View Volunteer Application,TRAN_NA,5,0,3.5,4,17.5
