id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,redirect to message page,control,1,1,Send Message,Send Message,
2,message,entity,0,1,Send Message,Send Message,
3,send message,control,2,1,Send Message,Send Message,
4,invalid input warning message,boundary,0,2,Send Message,Send Message,
5,check input message,control,2,1,Send Message,Send Message,
6,close new message page,control,1,1,Send Message,Send Message,
7,Message page,boundary,0,3,Send Message,Send Message,
8,Connection,entity,0,1,Send Message,Send Message,
9,retrive connections of a user,control,2,1,Send Message,Send Message,
10,Message edit page,boundary,2,2,Send Message,Send Message,
11,display new message page,control,1,1,Send Message,Send Message,
12,New message button,boundary,1,1,Send Message,Send Message,
13,User,actor,4,0,Send Message,Send Message,
