id,element,attributeNum,operationNum,diagram
1,Email Subscription Preference,0,0,Domain Objects
2,Favorite Job,0,0,Domain Objects
3,email message requesting referral,0,0,Domain Objects
4,User social media information,0,0,Domain Objects
5,linkin data,0,0,Domain Objects
6,google date,0,0,Domain Objects
7,savedSearch,0,0,Domain Objects
8,facebook data,0,0,Domain Objects
9,search result,0,0,Domain Objects
10,indeed.com job list,0,0,Domain Objects
