id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,Admin:home page,EQ,0,1,1,0,0,boundary
2,Admin:Manage course page-->Manage course page:redirect to home page-->redirect to home page:home page,EQ,1,3,3,0,0,boundary->boundary->boundary
3,Admin:Manage course page-->Manage course page:Process course information-->Process course information:save course information into database-->save course information into database:course,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
4,Admin:Manage course page-->Manage course page:Process course information-->Process course information:Invalid entered information,EQ,0,3,3,0,0,boundary->boundary->boundary
5,Admin:Invalid entered information,EQ,0,1,1,0,0,boundary
6,Admin:Delete confirmation dialog-->Delete confirmation dialog:delete course-->delete course:send email to attendees-->send email to attendees:Email protocol,EI,1,4,2,2,0,boundary->boundary->control->control
7,Admin:Delete confirmation dialog-->Delete confirmation dialog:delete course-->delete course:send email to attendees-->send email to attendees:delete success message,EQ,1,4,3,1,0,boundary->boundary->control->boundary
8,Admin:Delete confirmation dialog-->Delete confirmation dialog:delete course-->delete course:course,EQ,1,3,3,0,0,boundary->boundary->boundary
9,Admin:delete success message,EQ,0,1,1,0,0,boundary
10,Admin:delete course button-->delete course button:show delete confirmation box-->show delete confirmation box:Delete confirmation dialog-->Delete confirmation dialog:delete course-->delete course:send email to attendees-->send email to attendees:Email protocol,EI,1,6,4,2,0,boundary->boundary->boundary->boundary->control->control
11,Admin:delete course button-->delete course button:show delete confirmation box-->show delete confirmation box:Delete confirmation dialog-->Delete confirmation dialog:delete course-->delete course:send email to attendees-->send email to attendees:delete success message,EQ,1,6,5,1,0,boundary->boundary->boundary->boundary->control->boundary
12,Admin:delete course button-->delete course button:show delete confirmation box-->show delete confirmation box:Delete confirmation dialog-->Delete confirmation dialog:delete course-->delete course:course,EQ,1,5,5,0,0,boundary->boundary->boundary->boundary->boundary
13,User:Login page-->Login page:Redirect to home page-->Redirect to home page:Home page,EQ,2,3,3,0,0,boundary->boundary->boundary
14,User:Login page-->Login page:verify login information-->verify login information:user,EI,2,3,2,0,1,boundary->boundary->entity
15,User:Login page-->Login page:verify login information-->verify login information:update role-->update role:cache,EI,3,4,2,1,1,boundary->boundary->control->entity
16,User:Login page-->Login page:verify login information-->verify login information:update role-->update role:Login success information,EQ,2,4,3,1,0,boundary->boundary->control->boundary
17,User:Login page-->Login page:verify login information-->verify login information:Login invalid message,EQ,1,3,3,0,0,boundary->boundary->boundary
18,User:Login invalid message,EQ,0,1,1,0,0,boundary
19,User:Login success information,EQ,0,1,1,0,0,boundary
20,User:course detail page,EQ,0,1,1,0,0,boundary
21,User:Home page,EQ,0,1,1,0,0,boundary
22,Admin:Course management page-->Course management page:verify course information-->verify course information:save course info-->save course info:course,EQ,3,4,1,3,0,control->boundary->control->control
23,Admin:Course management page-->Course management page:verify course information-->verify course information:Invalid course information-->Invalid course information:delete course-->delete course:course,EQ,3,5,2,3,0,control->boundary->boundary->control->control
24,Admin:Course management page-->Course management page:verify course information-->verify course information:Invalid course information-->Invalid course information:delete course-->delete course:Redirect to home page-->Redirect to home page:Email protocol,EQ,2,6,3,3,0,control->boundary->boundary->control->boundary->control
25,Admin:Course management page-->Course management page:verify course information-->verify course information:Invalid course information-->Invalid course information:delete course-->delete course:Redirect to home page-->Redirect to home page:home page,EQ,3,6,4,2,0,control->boundary->boundary->control->boundary->boundary
26,Admin:Course management page-->Course management page:Redirect to home page-->Redirect to home page:Email protocol,EQ,1,3,1,2,0,control->boundary->control
27,Admin:Course management page-->Course management page:Redirect to home page-->Redirect to home page:home page,EO,2,3,2,1,0,control->boundary->boundary
28,Admin:Invalid course information-->Invalid course information:delete course-->delete course:course,EI,2,3,1,2,0,boundary->control->control
29,Admin:Invalid course information-->Invalid course information:delete course-->delete course:Redirect to home page-->Redirect to home page:Email protocol,EQ,1,4,2,2,0,boundary->control->boundary->control
30,Admin:Invalid course information-->Invalid course information:delete course-->delete course:Redirect to home page-->Redirect to home page:home page,EQ,2,4,3,1,0,boundary->control->boundary->boundary
31,EventBrite:bring up payment page-->bring up payment page:Payment page-->Payment page:make payment-->make payment:EventBrite,EQ,1,4,4,0,0,boundary->boundary->boundary->boundary
32,EventBrite:receive payment result-->receive payment result:Send out confirmation email-->Send out confirmation email:Email protocol,EI,2,3,2,1,0,boundary->boundary->control
33,EventBrite:receive payment result-->receive payment result:Send out confirmation email-->Send out confirmation email:registration success,EQ,1,3,3,0,0,boundary->boundary->boundary
34,Attendee:Course detail page-->Course detail page:Redirect to home page-->Redirect to home page:Home page,EO,2,3,2,0,1,entity->boundary->boundary
35,Attendee:Course detail page-->Course detail page:setupPayment-->setupPayment:EventBrite,EO,1,3,2,0,1,entity->boundary->boundary
36,Attendee:Course detail page-->Course detail page:setupPayment-->setupPayment:course,EQ,2,3,1,0,2,entity->boundary->entity
37,Attendee:registration success,EQ,0,1,1,0,0,boundary
38,Attendee:Payment page-->Payment page:make payment-->make payment:EventBrite,EQ,1,3,3,0,0,boundary->boundary->boundary
39,Attendee:Home page,EQ,0,1,1,0,0,boundary
40,User:course information is no t valid message,EQ,0,1,1,0,0,boundary
41,User:Log out button-->Log out button:clear local cache-->clear local cache:home page-->home page:save course information for review-->save course information for review:send email to trianer-->send email to trianer:Email protocol,EQ,2,6,3,2,1,boundary->entity->boundary->boundary->control->control
