id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,course,entity,0,1,Add course,Add course
2,Invalid entered information,boundary,0,2,Add course,Add course
3,save course information into database,control,1,1,Add course,Add course
4,redirect to home page,control,1,1,Add course,Add course
5,home page,boundary,0,2,Add course,Add course
6,Process course information,control,2,1,Add course,Add course
7,Manage course page,boundary,2,1,Add course,Add course
8,Admin,actor,3,0,Add course,Add course
9,Email protocol,actor,0,1,Delete course,Delete course
10,course,entity,0,1,Delete course,Delete course
11,Delete confirmation dialog,boundary,1,2,Delete course,Delete course
12,delete course,control,2,1,Delete course,Delete course
13,send email to attendees,control,2,1,Delete course,Delete course
14,delete success message,boundary,0,2,Delete course,Delete course
15,show delete confirmation box,control,1,1,Delete course,Delete course
16,delete course button,boundary,1,1,Delete course,Delete course
17,Admin,actor,3,0,Delete course,Delete course
18,verify course information,control,2,1,Modify course,Modify course
19,course,entity,0,2,Modify course,Modify course
20,Invalid course information,boundary,1,2,Modify course,Modify course
21,Redirect to home page,control,2,2,Modify course,Modify course
22,home page,boundary,0,2,Modify course,Modify course
23,save course info,control,1,1,Modify course,Modify course
24,Course management page,boundary,2,1,Modify course,Modify course
25,Admin,actor,3,0,Modify course,Modify course
26,Email protocol,actor,0,1,Verify new course,Verify new course
27,send email to trianer,control,1,1,Verify new course,Verify new course
28,acceptance,entity,0,1,Verify new course,Verify new course
29,load course information,control,3,1,Verify new course,Verify new course
30,course,entity,0,2,Verify new course,Verify new course
31,course informaton,boundary,1,2,Verify new course,Verify new course
32,save the acceptance information,control,3,1,Verify new course,Verify new course
33,course information is no t valid message,boundary,0,2,Verify new course,Verify new course
34,course list,boundary,1,1,Verify new course,Verify new course
35,Admin,actor,3,0,Verify new course,Verify new course
36,clear local cache,control,2,1,Request new course,Request new course
37,cache,entity,0,1,Request new course,Request new course
38,home page,boundary,1,2,Request new course,Request new course
39,save course information for review,control,2,1,Request new course,Request new course
40,course information is no t valid message,boundary,0,2,Request new course,Request new course
41,Log out button,boundary,1,1,Request new course,Request new course
42,User,actor,3,0,Request new course,Request new course
43,Invalid input schedule info,boundary,0,2,Update schedule,Update schedule
44,save updated schedule,control,1,1,Update schedule,Update schedule
45,validate updated schedule info,control,2,1,Update schedule,Update schedule
46,query schedule info,control,2,1,Update schedule,Update schedule
47,schedule,entity,0,2,Update schedule,Update schedule
48,schedule info page,boundary,1,2,Update schedule,Update schedule
49,display update schedule page,control,1,1,Update schedule,Update schedule
50,schedule update page,boundary,1,2,Update schedule,Update schedule
51,load schedule button,boundary,1,1,Update schedule,Update schedule
52,Trainer,actor,4,0,Update schedule,Update schedule
53,Login invalid message,boundary,0,2,Login,Login
54,Redirect to home page,control,1,1,Login,Login
55,Home page,boundary,0,2,Login,Login
56,cache,entity,0,1,Login,Login
57,verify login information,control,3,1,Login,Login
58,user,entity,0,1,Login,Login
59,update role,control,2,1,Login,Login
60,Login success information,boundary,0,2,Login,Login
61,Login page,boundary,2,1,Login,Login
62,User,actor,5,0,Login,Login
63,clear local cache,control,2,1,Logout,Logout
64,cache,entity,0,1,Logout,Logout
65,home page,boundary,1,2,Logout,Logout
66,Log out button,boundary,1,1,Logout,Logout
67,User,actor,3,0,Logout,Logout
68,invalid sign up informatin,boundary,0,2,Setup account,Setup account
69,verify sign up information,control,2,1,Setup account,Setup account
70,Save sign up information,control,2,1,Setup account,Setup account
71,user,entity,0,1,Setup account,Setup account
72,home page,boundary,0,2,Setup account,Setup account
73,Sign up page,boundary,1,1,Setup account,Setup account
74,User,actor,3,0,Setup account,Setup account
75,Redirect to login page,control,1,1,Share course,Share course
76,Login page,boundary,0,2,Share course,Share course
77,Notification,entity,0,1,Share course,Share course
78,send course information to users,control,1,1,Share course,Share course
79,Course list,boundary,1,2,Share course,Share course
80,load course list,control,2,1,Share course,Share course
81,Open course share menu,control,1,1,Share course,Share course
82,user,entity,0,1,Share course,Share course
83,Share menu,boundary,2,2,Share course,Share course
84,course list button,boundary,1,1,Share course,Share course
85,User,actor,4,0,Share course,Share course
86,No matched results,boundary,0,2,Search course,Search course
87,redirect to home page,control,1,1,Search course,Search course
88,course list,boundary,0,2,Search course,Search course
89,Search course by keywords,control,4,1,Search course,Search course
90,course,entity,0,2,Search course,Search course
91,home page,boundary,0,3,Search course,Search course
92,Search page,boundary,2,1,Search course,Search course
93,User,actor,4,0,Search course,Search course
94,Home page,boundary,0,2,Register course,Register course
95,Redirect to home page,control,1,1,Register course,Register course
96,Email protocol,actor,0,1,Register course,Register course
97,Send out confirmation email,control,2,1,Register course,Register course
98,receive payment result,control,1,1,Register course,Register course
99,EventBrite,actor,2,2,Register course,Register course
100,registration success,boundary,0,2,Register course,Register course
101,bring up payment page,control,1,1,Register course,Register course
102,make payment,boundary,1,1,Register course,Register course
103,setupPayment,control,2,1,Register course,Register course
104,Payment page,boundary,1,2,Register course,Register course
105,Course detail page,boundary,2,1,Register course,Register course
106,Attendee,actor,4,0,Register course,Register course
107,Home page,boundary,0,2,Review course,Review course
108,Redirect to home page,control,1,1,Review course,Review course
109,Course,entity,0,1,Review course,Review course
110,Review page,boundary,2,2,Review course,Review course
111,Display review page,control,1,1,Review course,Review course
112,Update cours information in db,control,2,2,Review course,Review course
113,Cours information update success message,boundary,1,2,Review course,Review course
114,Course detail page,boundary,2,1,Review course,Review course
115,Attendee,actor,5,0,Review course,Review course
