id,element,useCase,type,component
1,Valet:server error,Check in as customer,control,systemerrorwhenconnectingserver
2,Valet:venue list,Check in as customer,entity,venue
3,Valet:Server error message,Check in as customer,control,systemerrorwhenconnectingserver
4,Valet:inactive employee,Check in as customer,control,systemerrorwhenconnectingserver
5,Valet:confirmation prompt,Check in as customer,boundary,Location
6,Valet:Advertisement for random venue,Check in as customer,control,systemerrorwhenconnectingserver
7,Valet:Vehicle request screen,Check in as customer,entity,Valet Request
8,navigate to queue screen:Advertisement for random venue,Check in as customer,control,systemerrorwhenconnectingserver
9,pull advertisement for random venue:Advertisement for random venue,Check in as customer,control,systemerrorwhenconnectingserver
10,Redirect to vehicle request screen:Vehicle request screen,Check in as customer,entity,Valet Request
11,confirmation prompt:Redirect to vehicle request screen,Check in as customer,entity,Valet Request
12,Redirect to venue list:venue list,Check in as customer,entity,venue
13,confirmation prompt:Redirect to venue list,Check in as customer,entity,venue
14,Save acceptance:venue,Check in as customer,entity,venue
15,Save acceptance:display server error message,Check in as customer,control,systemerrorwhenconnectingserver
16,Vehicle request screen:Save acceptance,Check in as customer,control,GooglePlacesAPI
17,display server error message:Server error message,Check in as customer,control,systemerrorwhenconnectingserver
18,Vehicle request screen:pull advertisement for random venue,Check in as customer,control,systemerrorwhenconnectingserver
19,Vehicle request screen:navigate to queue screen,Check in as customer,entity,Valet Request
20,display confirmation prompt:confirmation prompt,Check in as customer,boundary,Location
21,display confirmation prompt:inactive employee,Check in as customer,control,systemerrorwhenconnectingserver
22,display confirmation prompt:server error,Check in as customer,control,systemerrorwhenconnectingserver
23,display confirmation prompt:venue,Check in as customer,entity,venue
24,venue list:display confirmation prompt,Check in as customer,boundary,Location
25,pull advertisement for random venue:venue,Check in as customer,entity,venue
26,stl#Valet:server error,Check in as customer,Stimulus,undefined
27,stl#Valet:venue list,Check in as customer,Stimulus,undefined
28,stl#Valet:Server error message,Check in as customer,Stimulus,undefined
29,stl#Valet:inactive employee,Check in as customer,Stimulus,undefined
30,stl#Valet:confirmation prompt,Check in as customer,Stimulus,undefined
31,stl#Valet:Advertisement for random venue,Check in as customer,Stimulus,undefined
32,stl#Valet:Vehicle request screen,Check in as customer,Stimulus,undefined
