NUM,PROJ,Effort,Effort_ALY,Effort_Norm,Norm_Factor,KSLOC,UEUCW,UEUCW_ALY,UEXUCW,UEXUCW_ALY,UDUCW,UDUCW_ALY,UAW,UAW_ALY,TCF,TCF_ALY,EF,EF_ALY,EUCP,EUCP_ALY,EXUCP,EXUCP_ALY,DUCP_ALY,Effort_Norm_UCP,Path_Num,UseCase_Num,Diagram_Num,INT,INT_ALY,DM,DM_ALY,CTRL,CTRL_ALY,EXTIVK,EXTIVK_ALY,EXTCLL,EXTCLL_ALY,NT,NT_ALY,NWT_ALY,NWT_DE_ALY,DET,RET,ILF,EIF,Type,Type_Label
13,F14a_mobile_application_for_mobile_controlled_lighting,257.5,0,1012.18,1.8,1.5,undefined,75,undefined,58,undefined,47,6,undefined,0.925,0,1.04,0,undefined,77.92,undefined,61.57,50.99,464.25,19,5,5,0,8,0,9,0,17,0,0,0,0,undefined,17,118,116,0,0,0,0,1,Mobile App
6,F15a_combat_conflict,1281,0,1064.7,0.89,7.593,undefined,320,undefined,356,undefined,368,6,undefined,1.115,0,1.095,0,undefined,398.02155,undefined,441.97485,456.62595,1141.9,21,7,7,16,13,10,8,26,21,0,0,0,0,26,21,144,144,0,0,0,0,2,Web App
9,F15a_tour_conductor,1347,0,3279.96,1.88,3.679,undefined,465,undefined,521,undefined,578,9,undefined,1.135,0,0.995,0,undefined,535.30005,undefined,598.54225,662.913775,2529,27,8,10,15,14,13,10,29,24,0,0,0,0,29,24,216,220,0,2,0,0,2,Web App
4,F14a_tipsure_com,266,0,734.24,1.48,0.73,undefined,120,undefined,172,undefined,199,9,undefined,0.855,0,1.025,0,undefined,113.05,undefined,158.62,182.29,393.63,55,8,10,24,22,26,30,51,53,1,1,0,0,51,53,556,556,0,2,0,0,2,Web App
5,F14a_women_at_work_website_redesign,140.5,0,415.83,1.71,3.2,undefined,120,undefined,99,undefined,90,12,undefined,0.855,0,1.025,0,undefined,115.68,undefined,97.28,182.29,240.63,30,8,10,13,13,10,11,30,30,6,6,1,0,30,30,198,206,0,2,0,0,2,Web App
19,F14a_soccer_data_web_crawler,268.5,0,206.55,0.72,2.258,undefined,120,undefined,109,undefined,101,6,undefined,0.915,0,1.025,0,undefined,118.17,undefined,107.86,89.39,194.09,32,8,10,undefined,15,undefined,17,undefined,32,undefined,0,undefined,0,undefined,32,272,272,0,2,0,0,2,Web App
11,S15b_we_are_trojans_network,1965,0,4531.59,1.25,6.415,undefined,465,undefined,621,undefined,678,9,undefined,0.935,0,0.935,0,undefined,414.38265,undefined,550.76175,600.592575,2447.93,80,9,12,34,46,21,34,55,80,0,0,0,0,55,80,846,938,0,3,0,0,2,Web App
2,f14a_gotrla,482,0,567.91,1.41,6.569,undefined,150,undefined,215,undefined,223,9,undefined,0.835,0,0.995,0,undefined,132.1,undefined,186.1,192.75,681.71,61,10,12,27,31,27,29,59,61,5,1,0,0,59,61,515,523,0,2,0,0,1,Mobile App
1,f14a_cash_doctor,724,0,1146.36,0.9,2.95,undefined,150,undefined,128,undefined,111,9,undefined,0.9,0,1.025,0,undefined,146.68,undefined,126.38,110.7,652.02,34,10,12,19,20,13,13,32,34,0,1,0,0,32,34,238,238,0,2,0,0,1,Mobile App
14,F14a_REFERsy,263,0,462.32,1.12,7.25,undefined,150,undefined,126,undefined,99,11,undefined,0.925,0,0.995,0,undefined,148.18,undefined,126.09,101.24,294.61,36,10,12,18,22,9,9,32,36,5,5,4,4,32,36,198,190,0,2,0,0,2,Web App
10,s15b_snap_valet,302.5,0,618.1,1.89,0.552,undefined,165,undefined,320,undefined,314,9,undefined,0.925,0,0.965,0,undefined,155.32,undefined,293.67,288.32,572.18,79,11,13,56,55,21,21,82,79,3,3,1,2,82,79,694,700,0,2,0,0,1,Mobile App
3,F14a_sharethetraining_com,571,0,781.79,1.19,8.116,undefined,195,undefined,189,undefined,159,9,undefined,0.88,0,1.04,0,undefined,186.7,undefined,181.21,153.75,681.05,52,13,16,30,31,17,16,54,51,5,4,2,2,54,51,334,330,0,3,0,0,2,Web App
