id,element,useCase,type,outboundDegree,inboundDegree
1,Actor:my photo screen,Take a photo,0,undefined,undefined
2,Actor:upload choice,Take a photo,0,undefined,undefined
3,Actor:view photo,Take a photo,0,undefined,undefined
4,Upload:upload choice,Take a photo,0,undefined,undefined
5,view photo:Upload,Take a photo,0,undefined,undefined
6,camera:take the photo successfully,Take a photo,0,undefined,undefined
7,camera:can't access camera,Take a photo,0,undefined,undefined
8,prepare resullt:camera,Take a photo,0,undefined,undefined
9,can't access camera:my photo screen,Take a photo,0,undefined,undefined
10,my photo screen:prepare resullt,Take a photo,0,undefined,undefined
11,User:my photo screen,Take a photo,0,undefined,undefined
12,view photo:prepare resullt,Take a photo,0,undefined,undefined
13,take the photo successfully:view photo,Take a photo,0,undefined,undefined
14,User:upload choice,Take a photo,0,undefined,undefined
15,User:view photo,Take a photo,0,undefined,undefined
16,stl#Actor:my photo screen,Take a photo,0,undefined,undefined
17,stl#Actor:upload choice,Take a photo,0,undefined,undefined
18,stl#Actor:view photo,Take a photo,0,undefined,undefined
19,stl#User:my photo screen,Take a photo,0,undefined,undefined
20,stl#User:upload choice,Take a photo,0,undefined,undefined
21,stl#User:view photo,Take a photo,0,undefined,undefined
