id,element,useCase,type,component
1,Admin:business list,Add a new business,control,Business Claim
2,Admin:added business button,Add a new business,control,Business Claim
3,Admin:business info,Add a new business,control,Business Claim
4,User:business input information,Add a new business,control,Question Form
5,User:Add a business button,Add a new business,control,Business Claim
6,Add a business button:display add business page,Add a new business,control,Business Claim
7,added business button:redirect to search panel,Add a new business,boundary,Search Results
8,display added business page:added business button,Add a new business,control,Business Claim
9,display added business page:business,Add a new business,control,Business Claim
10,save the approval status of the business:business,Add a new business,control,Business Claim
11,save business information for verification:business,Add a new business,control,Business Claim
12,query information for a specific business:business,Add a new business,control,Business Claim
13,business info:save the approval status of the business,Add a new business,entity,Business Profile
14,query information for a specific business:business info,Add a new business,control,Business Claim
15,business input information:save business information for verification,Add a new business,actor,Business Owner Profile
16,redirect to search panel:business input information,Add a new business,control,Question Form
17,display add business page:business input information,Add a new business,control,Question Form
18,business list:query information for a specific business,Add a new business,control,Question Form
19,display added business page:business list,Add a new business,control,Business Claim
20,stl#Admin:business list,Add a new business,Stimulus,undefined
21,stl#Admin:added business button,Add a new business,Stimulus,undefined
22,stl#Admin:business info,Add a new business,Stimulus,undefined
23,stl#User:business input information,Add a new business,Stimulus,undefined
24,stl#User:Add a business button,Add a new business,Stimulus,undefined
25,Admin:list of claims,Business Claim,control,Business Claim
26,Admin:Claim Detail,Business Claim,control,Business Claim
27,Admin:load claims button,Business Claim,control,Business Claim
28,User:Claim button,Business Claim,control,Business Claim
29,User:claim page,Business Claim,control,Business Claim
30,Claim Detail:save the approval status of claim,Business Claim,control,Business Claim
31,Query claim detail:Claim Detail,Business Claim,control,Business Claim
32,Claim button:display claim page,Business Claim,control,Business Claim
33,Query claim detail:claim information,Business Claim,control,Question Form
34,list of claims:Query claim detail,Business Claim,control,Business Claim
35,remove claim information:claim information,Business Claim,control,Question Form
36,save the approval status of claim:claim information,Business Claim,control,Question Form
37,save claim information for verification:claim information,Business Claim,control,Question Form
38,display claims requests:claim information,Business Claim,control,Question Form
39,claim page:save claim information for verification,Business Claim,control,Question Form
40,display claim page:claim page,Business Claim,control,Business Claim
41,display claims requests:list of claims,Business Claim,control,Business Claim
42,load claims button:display claims requests,Business Claim,control,Business Claim
43,save the approval status of claim:remove claim information,Business Claim,control,Question Form
44,stl#Admin:list of claims,Business Claim,Stimulus,undefined
45,stl#Admin:Claim Detail,Business Claim,Stimulus,undefined
46,stl#Admin:load claims button,Business Claim,Stimulus,undefined
47,stl#User:Claim button,Business Claim,Stimulus,undefined
48,stl#User:claim page,Business Claim,Stimulus,undefined
49,Admin:Registration Detail,Business Owner Registration,boundary,Registerbutton
50,Admin:registration button,Business Owner Registration,boundary,Registerbutton
51,Admin:list of registrations,Business Owner Registration,boundary,Registerbutton
52,User:registration page,Business Owner Registration,boundary,Registerbutton
53,User:Register button,Business Owner Registration,boundary,Registerbutton
54,Query registration detail:registration information,Business Owner Registration,control,Question Form
55,Query registration detail:Registration Detail,Business Owner Registration,boundary,Registerbutton
56,list of registrations:Query registration detail,Business Owner Registration,boundary,Registerbutton
57,Register button:display registration page,Business Owner Registration,boundary,Registerbutton
58,Registration Detail:save the approval status of registration,Business Owner Registration,control,Administrator Profile
59,display registratiion requests:list of registrations,Business Owner Registration,boundary,Registerbutton
60,display registratiion requests:registration information,Business Owner Registration,control,Question Form
61,registration button:display registratiion requests,Business Owner Registration,control,Question Form
62,display registration page:registration page,Business Owner Registration,boundary,Registerbutton
63,redirect to search panel:registration page,Business Owner Registration,boundary,Registerbutton
64,registration button:redirect to search panel,Business Owner Registration,boundary,Search Results
65,save information for verification:registration information,Business Owner Registration,control,Question Form
66,save the approval status of registration:registration information,Business Owner Registration,control,Question Form
67,registration page:save information for verification,Business Owner Registration,control,Question Form
68,stl#Admin:Registration Detail,Business Owner Registration,Stimulus,undefined
69,stl#Admin:registration button,Business Owner Registration,Stimulus,undefined
70,stl#Admin:list of registrations,Business Owner Registration,Stimulus,undefined
71,stl#User:registration page,Business Owner Registration,Stimulus,undefined
72,stl#User:Register button,Business Owner Registration,Stimulus,undefined
73,User:Home page,Search Business,control,Comments
74,User:No result found message,Search Business,boundary,Search Results
75,User:business list,Search Business,control,Business Claim
76,User:operation selection panel,Search Business,boundary,$help://use_case_model_pattern.htm
77,Home page:display selection panel,Search Business,control,Question Form
78,No result found message:redirect to search panel,Search Business,boundary,Search Results
79,Query business by options:No result found message,Search Business,boundary,Search Results
80,Query business by options:business,Search Business,control,Business Claim
81,Query business by options:business list,Search Business,control,Business Claim
82,operation selection panel:Query business by options,Search Business,control,Business Claim
83,Query business information:business,Search Business,control,Business Claim
84,business list:Query business information,Search Business,control,Question Form
85,display selection panel:operation selection panel,Search Business,boundary,$help://use_case_model_pattern.htm
86,redirect to search panel:operation selection panel,Search Business,boundary,$help://use_case_model_pattern.htm
87,stl#User:Home page,Search Business,Stimulus,undefined
88,stl#User:No result found message,Search Business,Stimulus,undefined
89,stl#User:business list,Search Business,Stimulus,undefined
90,stl#User:operation selection panel,Search Business,Stimulus,undefined
91,Admin:create a response button,Submit questions and responses,entity,Response Form
92,Admin:create a response page,Submit questions and responses,entity,Response Form
93,Admin:load questions button,Submit questions and responses,control,Question Form
94,Client:create a response page,Submit questions and responses,entity,Response Form
95,Client:create a response button,Submit questions and responses,entity,Response Form
96,Client:load questions button,Submit questions and responses,control,Question Form
97,User:question form,Submit questions and responses,control,Question Form
98,User:Ask a question button,Submit questions and responses,control,Question Form
99,Ask a question button:display ask a question form,Submit questions and responses,control,Question Form
100,Send notification:notification,Submit questions and responses,control,Question Form
101,check if the question is already answered:Send notification,Submit questions and responses,control,Question Form
102,check if the question is already answered:response,Submit questions and responses,entity,Response Form
103,check if the question is already answered:display create a response page,Submit questions and responses,entity,Response Form
104,create a response button:check if the question is already answered,Submit questions and responses,control,Question Form
105,load questions:create a response button,Submit questions and responses,entity,Response Form
106,create a response page:save the response to db,Submit questions and responses,entity,Response Form
107,display create a response page:create a response page,Submit questions and responses,entity,Response Form
108,display ask a question form:question form,Submit questions and responses,control,Question Form
109,load questions:questions,Submit questions and responses,control,Question Form
110,load questions button:load questions,Submit questions and responses,control,Question Form
111,question form:save questions,Submit questions and responses,control,Question Form
112,save questions:questions,Submit questions and responses,control,Question Form
113,save the response to db:response,Submit questions and responses,entity,Response Form
114,stl#Admin:create a response button,Submit questions and responses,Stimulus,undefined
115,stl#Admin:create a response page,Submit questions and responses,Stimulus,undefined
116,stl#Admin:load questions button,Submit questions and responses,Stimulus,undefined
117,stl#Client:create a response page,Submit questions and responses,Stimulus,undefined
118,stl#Client:create a response button,Submit questions and responses,Stimulus,undefined
119,stl#Client:load questions button,Submit questions and responses,Stimulus,undefined
120,stl#User:question form,Submit questions and responses,Stimulus,undefined
121,stl#User:Ask a question button,Submit questions and responses,Stimulus,undefined
122,Admin:added business button,Travel Tipping Guides,control,Business Claim
123,Admin:business list,Travel Tipping Guides,control,Business Claim
124,Admin:business info,Travel Tipping Guides,control,Business Claim
125,search for relevant information online:Internet browser,Travel Tipping Guides,actor,Business Owner Profile
126,User:Tipping guide page,Travel Tipping Guides,control,Tipping Guides
127,User:traverl tipping guides button,Travel Tipping Guides,control,Tipping Guides
128,Tipping guide page:search for relevant information online,Travel Tipping Guides,control,Question Form
129,display Tipping Guide Page:Tipping guide page,Travel Tipping Guides,control,Tipping Guides
130,display added business page:business,Travel Tipping Guides,control,Business Claim
131,search for relevant information online:business,Travel Tipping Guides,control,Business Claim
132,query information for a specific business:business,Travel Tipping Guides,control,Business Claim
133,save the approval status of the business:business,Travel Tipping Guides,control,Business Claim
134,business info:save the approval status of the business,Travel Tipping Guides,entity,Business Profile
135,query information for a specific business:business info,Travel Tipping Guides,control,Business Claim
136,business list:query information for a specific business,Travel Tipping Guides,control,Question Form
137,traverl tipping guides button:display Tipping Guide Page,Travel Tipping Guides,control,Tipping Guides
