id,element,useCase,type,component
1,Sales Agent:dropdown list for removing lead,Remove lead from auto dialer list,entity,Lead customer profile
2,Sales Agent:success message for removing lead,Remove lead from auto dialer list,entity,Create agent form
3,remove lead from autodialing list:autodialing list,Remove lead from auto dialer list,entity,1800dialbutton
4,dropdown list for removing lead:remove lead from autodialing list,Remove lead from auto dialer list,entity,Lead customer profile
5,remove lead from autodialing list:success message for removing lead,Remove lead from auto dialer list,entity,Create agent form
6,stl#Sales Agent:dropdown list for removing lead,Remove lead from auto dialer list,Stimulus,undefined
7,stl#Sales Agent:success message for removing lead,Remove lead from auto dialer list,Stimulus,undefined
