id,attribute,type,element
1,abstract,EAJava_Text,Article
2,author,EAJava_String,Article
3,co_authorList,EAJava_ArrayList_String_,Article
4,keywordList,EAJava_ArrayList_String_,Article
5,meshTermList,EAJava_ArrayList_String_,Article
6,publishedData,EAJava_Date,Article
7,publishedJournal,EAJava_String,Article
8,title,EAJava_String,Article
9,co_authorList,EAJava_ArrayList_String_,Collaboration Graph
10,name,EAJava_String,Collaboration Graph
11,comment,EAJava_String,Comment
12,commentator,EAJava_String,Comment
13,date,EAJava_Date,Comment
14,undefined,EAID_A4B1B1D7_EE88_4c26_8BDF_7D8D447E44BF,Comment
15,body,EAJava_String,Message Context
16,data,EAJava_Date,Message Context
17,receiver,EAJava_String,Message Context
18,sender,EAJava_String,Message Context
19,title,EAJava_String,Message Context
20,messageList,EAJava_ArrayList_MessageContext_,Message HistoryA
21,owner,EAJava_String,Message HistoryA
22,commentList,EAJava_ArrayList_Comment_,Post
23,date,EAJava_Date,Post
24,post,EAJava_String,Post
25,poster,EAJava_String,Post
26,undefined,EAID_8DF68978_C18A_4f7e_BE0E_3EA801178B34,Post
27,creationDate,EAJava_Date,Subforum (Group)
28,description,EAJava_String,Subforum (Group)
29,owner,EAJava_String,Subforum (Group)
30,postList,EAJava_ArrayList_Post_,Subforum (Group)
31,topic,EAJava_String,Subforum (Group)
32,age,EAJava_int,User (Member)
33,articleList,EAJava_ArrayList_String_,User (Member)
34,co_authourList,EAJava_ArrayList_String_,User (Member)
35,contact,EAJava_String,User (Member)
36,email,EAJava_String,User (Member)
37,gender,EAJava_String,User (Member)
38,name,EAJava_String,User (Member)
39,nationality,EAJava_String,User (Member)
40,researchInterestList,EAJava_ArrayList_String_,User (Member)
41,Resume,EAJava_File,User (Member)
42,subComponentInstance1,EAJava_Send___Receive_Message_SubComponent,Discussion Board Component (Php BB)
43,subComponentInstance2,EAJava_View_Message_History_SubComponent,Discussion Board Component (Php BB)
44,subComponentInstance3,EAJava_Post___Comment_SubComponent,Discussion Board Component (Php BB)
45,subComponentInstance4,EAJava_Create_SubForum_Component,Discussion Board Component (Php BB)
46,subComponentInstance1,EAJava_Search_By_Keyword_SubComponent,Search Component
47,subComponentInstance2,EAJava_Search_By_Name_SubComponent,Search Component
48,subComponentInstance3,EAJava_Advance_Search_SubComponent,Search Component
