id,element,useCase,type,component
1,User:description should not be blank message,Log activity,boundary,descriptionshouldnotbeblankmessage
2,User:use information page,Log activity,control,Use information
3,User:information input page,Log activity,control,Use information
4,User:add vew button,Log activity,boundary,addvewbutton
5,add vew button:return activity description page,Log activity,control,Activity
6,insert activity into case:case info,Log activity,boundary,Case information
7,validate the descirpiton of activity:description should not be blank message,Log activity,boundary,descriptionshouldnotbeblankmessage
8,information input page:validate the descirpiton of activity,Log activity,control,Activity
9,return activity description page:information input page,Log activity,control,Use information
10,insert activity into case:use information page,Log activity,control,Use information
11,validate the descirpiton of activity:insert activity into case,Log activity,control,Activity
12,return activity description page:user,Log activity,entity,User
13,stl#User:description should not be blank message,Log activity,Stimulus,undefined
14,stl#User:use information page,Log activity,Stimulus,undefined
15,stl#User:information input page,Log activity,Stimulus,undefined
16,stl#User:add vew button,Log activity,Stimulus,undefined
