id,attribute,type,element,diagram
1,Course ID,int,Order records,Domain Objects
2,Date,date,Order records,Domain Objects
3,UserID,int,Order records,Domain Objects
4,ID,int,Course,Domain Objects
5,Name,char[],Course,Domain Objects
6,Price,int,Course,Domain Objects
7,Type,int,Course,Domain Objects
8,Course ID,int,Share course records,Domain Objects
9,Friends,char[],Share course records,Domain Objects
10,Method,char[],Share course records,Domain Objects
11,User ID,int,Share course records,Domain Objects
12,Comments,char[],Course review records,Domain Objects
13,Course ID,int,Course review records,Domain Objects
14,User ID,int,Course review records,Domain Objects
15,CourseID,int,Course providing records,Domain Objects
16,UserID,int,Course providing records,Domain Objects
17,ID,int,User,Domain Objects
18,Name,char[],User,Domain Objects
19,Type,int,User,Domain Objects
20,Administrators,int,Dashboard user management page,Domain Objects
21,CourseAttendees,int,Dashboard user management page,Domain Objects
22,Trainers,int,Dashboard user management page,Domain Objects
23,Category,String,Course request page,Domain Objects
24,City,String,Course request page,Domain Objects
25,CourseName,String,Course request page,Domain Objects
26,EndDate,String,Course request page,Domain Objects
27,KeyPoints,String,Course request page,Domain Objects
28,MapLocation,String,Course request page,Domain Objects
29,MaximumAttendees,int,Course request page,Domain Objects
30,MinimumAttendees,int,Course request page,Domain Objects
31,Price,float,Course request page,Domain Objects
32,StartDate,String,Course request page,Domain Objects
33,CourseList,int,Dashboard course management page,Domain Objects
34,CreateCourse,int,Dashboard course management page,Domain Objects
35,DeleteCourse,int,Dashboard course management page,Domain Objects
36,ModifyCourse,int,Dashboard course management page,Domain Objects
37,course request list,int,Dashboard process request page,Domain Objects
38,OrderList,int,Dashboard order management page,Domain Objects
39,OrderList,int,Order records page,Domain Objects
40,End Date,String,Trainer schedule page,Domain Objects
41,Is_occupated,boolean,Trainer schedule page,Domain Objects
42,OccupedThing,String,Trainer schedule page,Domain Objects
43,Start Date,String,Trainer schedule page,Domain Objects
44,ReviewList,int,Dashboard review management page,Domain Objects
45,review,string,Course Review Page,Domain Objects
46,DOB,int,Trainer profile page,Domain Objects
47,Email,String,Trainer profile page,Domain Objects
48,First Name,String,Trainer profile page,Domain Objects
49,Last Name,String,Trainer profile page,Domain Objects
50,Middle Name,String,Trainer profile page,Domain Objects
51,Occupation,String,Trainer profile page,Domain Objects
52,Teached Courses,String,Trainer profile page,Domain Objects
53,Teaching Courses,String,Trainer profile page,Domain Objects
54,DOB,char[],Sign up trainer page,Domain Objects
55,Email,String,Sign up trainer page,Domain Objects
56,First Name,String,Sign up trainer page,Domain Objects
57,Last Name,String,Sign up trainer page,Domain Objects
58,Middle Name,String,Sign up trainer page,Domain Objects
59,occupation,String,Sign up trainer page,Domain Objects
60,password,String,Sign up trainer page,Domain Objects
61,course name,int,Payment page,Domain Objects
62,price,int,Payment page,Domain Objects
63,Category,char[],Course detail page,Domain Objects
64,city,char[],Course detail page,Domain Objects
65,Course name,String,Course detail page,Domain Objects
66,End date,int,Course detail page,Domain Objects
67,Keypoints,int,Course detail page,Domain Objects
68,maplocations,list,Course detail page,Domain Objects
69,maximum attendees,int,Course detail page,Domain Objects
70,minimum attendees,int,Course detail page,Domain Objects
71,price,int,Course detail page,Domain Objects
72,Start date,int,Course detail page,Domain Objects
73,Category,String,Course search page,Domain Objects
74,City,String,Course search page,Domain Objects
75,Keywords,String,Course search page,Domain Objects
76,Price,Float,Course search page,Domain Objects
77,Attended Course,String,Course attendeee profile page,Domain Objects
78,DOB,Char[],Course attendeee profile page,Domain Objects
79,Email,String,Course attendeee profile page,Domain Objects
80,FirstName,String,Course attendeee profile page,Domain Objects
81,LastName,String,Course attendeee profile page,Domain Objects
82,MiddelName,String,Course attendeee profile page,Domain Objects
83,Occupation,String,Course attendeee profile page,Domain Objects
84,DOB,String,Sign up course attendee page,Domain Objects
85,Email,String,Sign up course attendee page,Domain Objects
86,FirstName,String,Sign up course attendee page,Domain Objects
87,Last Name,String,Sign up course attendee page,Domain Objects
88,MiddelName,String,Sign up course attendee page,Domain Objects
89,Password,String,Sign up course attendee page,Domain Objects
90,password,string,Login Page,Domain Objects
91,username,string,Login Page,Domain Objects
