id,element,useCase,type,component
1,User:choose degree and year button,enter cosntrains and construct study plan,boundary,ChoosingDegreeProgramPage
2,User:No study plan satisfy the requirement,enter cosntrains and construct study plan,boundary,Requirement
3,User:list of requirements for soruces,enter cosntrains and construct study plan,boundary,Requirement
4,User:updae success message,enter cosntrains and construct study plan,boundary,DesiredCoursesSelectionPage
5,consturct the study plan:No study plan satisfy the requirement,enter cosntrains and construct study plan,boundary,Requirement
6,choose degree and year button:show a list of requirements,enter cosntrains and construct study plan,boundary,Requirement
7,consturct the study plan:study plan,enter cosntrains and construct study plan,control,StudyPlanController
8,consturct the study plan:show study plan,enter cosntrains and construct study plan,control,StudyPlanController
9,show a list of requirements:consturct the study plan,enter cosntrains and construct study plan,control,StudyPlanController
10,show a list of requirements:course requirements,enter cosntrains and construct study plan,boundary,Requirement
11,show a list of requirements:list of requirements for soruces,enter cosntrains and construct study plan,boundary,Requirement
12,show study plan:updae success message,enter cosntrains and construct study plan,boundary,DesiredCoursesSelectionPage
13,stl#User:choose degree and year button,enter cosntrains and construct study plan,Stimulus,undefined
14,stl#User:No study plan satisfy the requirement,enter cosntrains and construct study plan,Stimulus,undefined
15,stl#User:list of requirements for soruces,enter cosntrains and construct study plan,Stimulus,undefined
16,stl#User:updae success message,enter cosntrains and construct study plan,Stimulus,undefined
