id,element,useCase,type,component
1,Valet:display spinner while saving information,Register as Valet,control,systemerrorwhenconnectingserver
2,Valet:system error when saving registration information,Register as Valet,control,systemerrorwhenconnectingserver
3,Valet:registration information invalid message,Register as Valet,boundary,searchforbestmatch
4,Valet:management empolyee page,Register as Valet,control,employee
5,Valet:registration page,Register as Valet,boundary,Location
6,Valet:duplicate registration information,Register as Valet,boundary,Location
7,Valet:successfully save registration information,Register as Valet,boundary,searchforbestmatch
8,Valet:system error message,Register as Valet,control,systemerrorwhenconnectingserver
9,Valet:register button,Register as Valet,boundary,Customer
10,validate registration information:display spinner while saving information,Register as Valet,control,systemerrorwhenconnectingserver
11,displays registration page:registration page,Register as Valet,boundary,Location
12,register button:displays registration page,Register as Valet,boundary,Location
13,validate registration information:duplicate registration information,Register as Valet,boundary,Location
14,validate registration information:employee,Register as Valet,control,employee
15,save valet information:employee,Register as Valet,control,employee
16,navigate to manage employee page:management empolyee page,Register as Valet,control,employee
17,successfully save registration information:navigate to manage employee page,Register as Valet,control,employee
18,validate registration information:registration information invalid message,Register as Valet,boundary,searchforbestmatch
19,registration page:validate registration information,Register as Valet,boundary,Location
20,save valet information:system error message,Register as Valet,control,systemerrorwhenconnectingserver
21,save valet information:successfully save registration information,Register as Valet,boundary,searchforbestmatch
22,save valet information:system error when saving registration information,Register as Valet,control,systemerrorwhenconnectingserver
23,validate registration information:save valet information,Register as Valet,entity,Valet Check In
24,stl#Valet:display spinner while saving information,Register as Valet,Stimulus,undefined
25,stl#Valet:system error when saving registration information,Register as Valet,Stimulus,undefined
26,stl#Valet:registration information invalid message,Register as Valet,Stimulus,undefined
27,stl#Valet:management empolyee page,Register as Valet,Stimulus,undefined
28,stl#Valet:registration page,Register as Valet,Stimulus,undefined
29,stl#Valet:duplicate registration information,Register as Valet,Stimulus,undefined
30,stl#Valet:successfully save registration information,Register as Valet,Stimulus,undefined
31,stl#Valet:system error message,Register as Valet,Stimulus,undefined
32,stl#Valet:register button,Register as Valet,Stimulus,undefined
