NUM,PROJ,DUCP_ALY,UDUCW_ALY,Project_No,Project_Name
1,f14a_cash_doctor,110.7,111,6,F14a_black_professionals_net
2,f14a_gotrla,192.75,223,12,f14a_cash_doctor
3,F14a_sharethetraining_com,153.75,159,8,f14a_e_lock_box
4,F14a_tipsure_com,182.29,199,15,f14a_gotrla
5,F14a_women_at_work_website_redesign,89.39,90,13,F14a_mobile_application_for_mobile_controlled_lighting
6,F15a_combat_conflict,55.59,70,10,F14a_REFERsy
7,F15a_construction_meeting_minutes_application,248.69,277,11,F14a_sharethetraining_com
8,F15a_nice_ecommerse,191.43,223,5,F14a_snapp_voice_communication_system
9,F15a_tour_conductor,70.89,81,19,F14a_soccer_data_Web_crawler
10,s15b_snap_valet,288.32,314,2,F14a_tipsure_com
11,S15b_we_are_trojans_network,307.73,343,9,F14a_women_at_work_Website_redesign
12,S16b_flower_seeker,134.1,138,4,F15a_combat_conflict
13,F14a_mobile_application_for_mobile_controlled_lighting,50.99,47,6,F15a_construction_meeting_minutes_application
14,F14a_REFERsy,101.24,99,3,F15a_linggo
15,s17_tikiman_go,49.26,29,7,F15a_nice_ecommerse
16,s16_bad_driver,96.48,56,5,F15a_tour_conductor
17,s16b_Picshare_AA,136.53,160,1,s14b_location_based_ad
18,s14b_location_based_ad,1173.84,777,7,S15b_mission_science_irobots
19,F14a_soccer_data_web_crawler,100.35,101,3,s15b_snap_valet
20,s16b_Picshare_RA,NaN,337,1,S15b_we_are_trojans_network
,,,,3,s16_bad_driver
,,,,4,S16b_flower_seeker
,,,,2,s16b_Picshare_AA
,,,,1,s16b_Picshare_RA
,,,,4,s17_tikiman_go
