EUCP,EXUCP,DUCP,Effort_Norm,ProJ
191.74,104.83,96.48,1270.21,BDR
227.09,152.85,136.53,1711.8,PCS
564.75,416.91,1173.84,3029.65,LBA
143.7594,54.14,69.27,663.75,TIKI
